YEAR,ANNUAL_ANOMALY,ANNUAL_STD,RECORD_COUNT,TREND_LINE
1878,-0.2705,,1,-0.17609459993243792
1880,-0.0712,0.2165,9,-0.17330944915032065
1881,-0.0578,0.2398,13,-0.1719168737592618
1882,-0.2129,0.1135,22,-0.17052429836820293
1883,-0.2509,0.1137,21,-0.16913172297714452
1884,-0.1513,0.0913,12,-0.16773914758608566
1885,-0.1673,0.1406,21,-0.16634657219502724
1886,-0.1515,0.1023,30,-0.16495399680396838
1887,-0.1771,0.1596,34,-0.16356142141290952
1888,-0.1419,0.1189,39,-0.1621688460218511
1889,-0.2326,0.0923,36,-0.16077627063079225
1890,-0.2455,0.1079,37,-0.15938369523973384
1891,-0.1504,0.1557,3,-0.15799111984867498
1892,-0.0963,0.1392,33,-0.15659854445761656
1893,-0.0666,0.1345,28,-0.1552059690665577
1895,-0.0298,0.1759,30,-0.15242081828444043
1897,-0.0852,0.1454,25,-0.14963566750232316
1898,-0.1186,0.1163,25,-0.1482430921112643
1899,-0.0378,0.2106,29,-0.14685051672020588
1900,-0.0988,0.2149,26,-0.14545794132914702
1901,-0.188,0.1533,23,-0.14406536593808816
1902,-0.1058,0.1818,34,-0.14267279054702975
1903,-0.1104,0.1562,32,-0.1412802151559709
1904,-0.1024,0.1784,21,-0.13988763976491247
1905,-0.1101,0.2036,21,-0.13849506437385362
1906,-0.087,0.1242,27,-0.13710248898279476
1907,-0.1196,0.1653,28,-0.13570991359173634
1908,-0.1069,0.1725,25,-0.13431733820067748
1909,-0.1561,0.144,34,-0.13292476280961907
1910,-0.1516,0.1712,46,-0.1315321874185602
1911,-0.0877,0.1404,45,-0.1301396120275018
1912,-0.1273,0.1929,45,-0.12874703663644294
1913,-0.1143,0.1014,47,-0.12735446124538408
1914,-0.1223,0.1409,48,-0.12596188585432566
1915,-0.1278,0.1079,46,-0.1245693104632668
1916,-0.1253,0.1308,47,-0.12317673507220839
1917,-0.2453,0.1494,30,-0.12178415968114953
1919,-0.1307,0.1872,24,-0.11899900889903225
1920,-0.0987,0.1249,24,-0.1176064335079734
1921,-0.2199,0.1348,45,-0.11621385811691498
1922,-0.1875,0.1606,45,-0.11482128272585612
1923,-0.2349,0.168,45,-0.11342870733479771
1924,-0.1154,0.1311,41,-0.11203613194373885
1925,-0.2155,0.1529,37,-0.11064355655267999
1926,-0.1,0.161,36,-0.10925098116162157
1927,-0.0766,0.1187,26,-0.10785840577056272
1928,-0.0965,0.1106,25,-0.1064658303795043
1929,-0.1373,0.0917,28,-0.10507325498844544
1930,-0.0733,0.1253,27,-0.10368067959738703
1931,-0.0868,0.1716,28,-0.10228810420632817
1932,-0.145,0.1198,31,-0.10089552881526931
1933,-0.1519,0.1257,23,-0.0995029534242109
1934,-0.1711,0.1238,29,-0.09811037803315203
1935,-0.144,0.1538,24,-0.09671780264209362
1936,-0.1495,0.1951,19,-0.09532522725103476
1937,-0.1303,0.1533,20,-0.0939326518599759
1938,-0.189,0.1479,29,-0.09254007646891749
1940,-0.0569,0.1397,34,-0.08975492568680021
1941,-0.0101,0.1082,36,-0.08836235029574135
1942,-0.0014,0.1364,34,-0.08696977490468294
1943,-0.0342,0.1206,36,-0.08557719951362408
1944,-0.0969,0.1331,44,-0.08418462412256522
1945,-0.0583,0.1835,42,-0.0827920487315068
1946,-0.034,0.1061,33,-0.08139947334044795
1947,0.0424,0.1473,34,-0.08000689794938953
1948,-0.0385,0.1202,31,-0.07861432255833067
1949,-0.0105,0.1323,35,-0.07722174716727181
1950,-0.0562,0.119,36,-0.0758291717762134
1951,-0.0047,0.1058,36,-0.07443659638515454
1952,0.0131,0.1467,34,-0.07304402099409613
1953,-0.0445,0.1394,36,-0.07165144560303727
1954,-0.065,0.11,36,-0.07025887021197885
1955,-0.009,0.1939,46,-0.06886629482092
1956,-0.1461,0.1526,45,-0.06747371942986113
1957,-0.1661,0.1436,59,-0.06608114403880272
1958,-0.0742,0.1441,73,-0.06468856864774386
1959,-0.0699,0.1381,43,-0.06329599325668545
1960,-0.0653,0.1587,59,-0.06190341786562659
1961,-0.0829,0.16,52,-0.06051084247456817
1962,-0.0816,0.1025,48,-0.05911826708350931
1963,-0.0425,0.1638,48,-0.057725691692450454
1964,-0.0831,0.1353,48,-0.05633311630139204
1965,-0.0644,0.126,47,-0.05494054091033318
1966,-0.0871,0.1699,68,-0.053547965519274765
1967,-0.0925,0.1396,73,-0.052155390128215906
1968,-0.0574,0.1311,48,-0.05076281473715705
1969,-0.0147,0.1855,48,-0.04937023934609863
1970,-0.0492,0.133,48,-0.04797766395503977
1971,-0.1,0.132,48,-0.04658508856398136
1972,-0.0932,0.1209,48,-0.0451925131729225
1973,-0.126,0.121,70,-0.043799937781864084
1974,-0.1466,0.1423,71,-0.042407362390805226
1975,-0.1419,0.1117,81,-0.04101478699974637
1976,-0.1474,0.1113,65,-0.03962221160868795
1977,-0.0295,0.1503,60,-0.03822963621762909
1978,-0.1043,0.1598,59,-0.03683706082657068
1979,-0.0651,0.1525,52,-0.03544448543551182
1980,-0.0861,0.1201,62,-0.03405191004445296
1981,-0.055,0.1464,72,-0.032659334653394545
1982,-0.062,0.0975,61,-0.031266759262335686
1983,-0.0333,0.1268,61,-0.02987418387127727
1984,-0.0952,0.1133,70,-0.028481608480218412
1985,-0.0575,0.1242,70,-0.027089033089159997
1986,-0.0394,0.1063,74,-0.02569645769810114
1987,0.0454,0.1265,82,-0.02430388230704228
1988,0.011,0.1345,78,-0.022911306915983864
1989,0.0044,0.1152,69,-0.021518731524925006
1990,0.0225,0.1371,67,-0.02012615613386659
1991,-0.0754,0.1113,65,-0.01873358074280773
1992,-0.0884,0.1044,78,-0.017341005351749317
1993,-0.0314,0.0894,72,-0.015948429960690458
1994,0.003,0.1105,93,-0.014555854569631599
1995,-0.0148,0.1085,84,-0.013163279178573184
1996,-0.0121,0.133,68,-0.011770703787514325
1997,0.0238,0.1051,72,-0.01037812839645591
1998,-0.0091,0.1166,75,-0.008985553005397051
1999,0.0446,0.1292,27,-0.007592977614338192
2000,-0.0311,0.0927,32,-0.006200402223279777
