DATE,YEAR,MONTH,TAVG,TEMP_ANOMALY
1944-04-01,1944,4,2.537,
1944-05-01,1944,5,2.817,-0.47199999999999953
1944-06-01,1944,6,3.172,-0.28100000000000014
1944-07-01,1944,7,3.391,-0.2280000000000002
1944-08-01,1944,8,3.433,-0.2290000000000001
1944-09-01,1944,9,3.129,-0.28900000000000015
1944-10-01,1944,10,2.819,-0.18400000000000016
1944-11-01,1944,11,2.493,-0.08850000000000025
1944-12-01,1944,12,1.973,-0.13400000000000012
1945-01-01,1945,1,1.716,
1945-02-01,1945,2,1.795,-0.25
1945-03-01,1945,3,2.116,-0.19700000000000006
1945-04-01,1945,4,2.4850000000000003,
1945-05-01,1945,5,2.757,-0.5319999999999996
1945-06-01,1945,6,3.088,-0.3650000000000002
1945-07-01,1945,7,3.319,-0.30000000000000027
1945-08-01,1945,8,3.224,-0.4379999999999997
1955-01-01,1955,1,1.878,
1955-02-01,1955,2,1.835,-0.20999999999999996
1955-03-01,1955,3,2.25,-0.06300000000000017
1955-04-01,1955,4,2.468,
1955-05-01,1955,5,2.771,-0.5179999999999998
1955-06-01,1955,6,3.073,-0.38000000000000034
1955-07-01,1955,7,3.375,-0.24400000000000022
1955-08-01,1955,8,3.298,-0.3639999999999999
1955-09-01,1955,9,3.128,-0.29000000000000004
1955-10-01,1955,10,2.704,-0.29899999999999993
1955-11-01,1955,11,2.384,-0.19750000000000023
1955-12-01,1955,12,2.06,-0.04700000000000015
1956-01-01,1956,1,1.743,
1956-02-01,1956,2,1.928,-0.11699999999999999
1956-04-01,1956,4,2.473,
1956-05-01,1956,5,2.616,-0.6729999999999996
1956-06-01,1956,6,3.038,-0.4150000000000005
1956-07-01,1956,7,3.446,-0.17300000000000004
1956-08-01,1956,8,3.3560000000000003,-0.3059999999999996
1956-09-01,1956,9,3.111,-0.30699999999999994
1956-10-01,1956,10,2.68,-0.32299999999999995
1956-11-01,1956,11,2.275,-0.3065000000000002
1956-12-01,1956,12,2.004,-0.1030000000000002
1957-01-01,1957,1,1.835,
1957-02-01,1957,2,1.841,-0.20399999999999996
1957-03-01,1957,3,2.1710000000000003,-0.1419999999999999
1957-04-01,1957,4,2.406,
1957-05-01,1957,5,2.7030000000000003,-0.5859999999999994
1957-06-01,1957,6,2.927,-0.5260000000000002
1957-07-01,1957,7,3.24,-0.379
1957-08-01,1957,8,3.307,-0.355
1957-09-01,1957,9,3.09,-0.3280000000000003
1957-10-01,1957,10,2.825,-0.17799999999999994
1957-11-01,1957,11,2.426,-0.15549999999999997
1957-12-01,1957,12,2.0420000000000003,-0.06499999999999995
1958-01-01,1958,1,1.867,
1958-02-01,1958,2,1.838,-0.20699999999999985
1958-03-01,1958,3,2.213,-0.10000000000000009
1958-04-01,1958,4,2.528,
1958-05-01,1958,5,2.927,-0.36199999999999966
1958-06-01,1958,6,3.012,-0.4410000000000003
1958-07-01,1958,7,3.319,-0.30000000000000027
1958-08-01,1958,8,3.368,-0.29400000000000004
1958-09-01,1958,9,3.124,-0.29400000000000004
1958-10-01,1958,10,2.754,-0.2490000000000001
1958-11-01,1958,11,2.305,-0.27649999999999997
1958-12-01,1958,12,1.984,-0.12300000000000022
1959-02-01,1959,2,1.7719999999999998,-0.27300000000000013
1959-03-01,1959,3,2.133,-0.18000000000000016
1959-04-01,1959,4,2.532,
1959-06-01,1959,6,3.051,-0.40200000000000014
1959-07-01,1959,7,3.224,-0.395
1959-08-01,1959,8,3.4240000000000004,-0.23799999999999955
1959-10-01,1959,10,2.819,-0.18400000000000016
1959-11-01,1959,11,2.285,-0.2965
1959-12-01,1959,12,1.835,-0.27200000000000024
1960-01-01,1960,1,1.919,
1960-02-01,1960,2,1.95,-0.09499999999999997
1960-03-01,1960,3,2.097,-0.2160000000000002
1960-04-01,1960,4,2.497,
1960-05-01,1960,5,2.788,-0.5009999999999999
1960-06-01,1960,6,3.053,-0.40000000000000036
1960-07-01,1960,7,3.297,-0.32200000000000006
1960-08-01,1960,8,3.357,-0.3049999999999997
1960-09-01,1960,9,3.095,-0.32299999999999995
1960-10-01,1960,10,2.724,-0.2789999999999999
1960-11-01,1960,11,2.37,-0.21150000000000002
1960-12-01,1960,12,1.959,-0.14800000000000013
1961-01-01,1961,1,1.899,
1961-02-01,1961,2,1.914,-0.131
1961-03-01,1961,3,2.191,-0.12200000000000033
1961-04-01,1961,4,2.308,
1961-05-01,1961,5,2.809,-0.47999999999999954
1961-06-01,1961,6,3.07,-0.38300000000000045
1984-02-01,1984,2,1.932,-0.11299999999999999
1985-07-01,1985,7,3.4479999999999995,-0.1710000000000007
1986-11-01,1986,11,2.383,-0.19850000000000012
1987-11-01,1987,11,2.349,-0.23249999999999993
1999-06-01,1999,6,3.476,0.022999999999999687
2002-11-01,2002,11,2.465,-0.11650000000000027
2004-02-01,2004,2,2.045,0.0
2007-10-01,2007,10,2.923,-0.08000000000000007
2007-12-01,2007,12,2.107,0.0
2011-03-01,2011,3,2.313,0.0
2011-07-01,2011,7,3.619,0.0
2012-05-01,2012,5,3.336,0.04700000000000015
2012-06-01,2012,6,3.43,-0.02300000000000013
2012-08-01,2012,8,3.662,0.0
2012-09-01,2012,9,3.4210000000000003,0.0030000000000001137
2012-10-01,2012,10,2.97,-0.03299999999999992
2013-09-01,2013,9,3.415,-0.0030000000000001137
2014-05-01,2014,5,3.242,-0.04699999999999971
2014-10-01,2014,10,3.116,0.11299999999999999
2020-11-01,2020,11,2.698,0.11649999999999983
2021-04-01,2021,4,2.846,
2022-10-01,2022,10,2.972,-0.03100000000000014
2022-12-01,2022,12,2.241,0.1339999999999999
2023-11-01,2023,11,2.663,0.08149999999999968
