DATE,YEAR,MONTH,TAVG,TEMP_ANOMALY
1985-05-01,1985,5,2.997,
1985-09-01,1985,9,3.196,-0.20099999999999962
1985-10-01,1985,10,2.882,-0.12733333333333352
1985-11-01,1985,11,2.471,-0.15766666666666662
1987-07-01,1987,7,3.495,-0.015500000000000291
1987-11-01,1987,11,2.436,-0.19266666666666676
1990-10-01,1990,10,2.956,-0.05333333333333368
1992-07-01,1992,7,3.3270000000000004,-0.1835
1992-08-01,1992,8,3.4770000000000003,-0.05649999999999977
1994-10-01,1994,10,2.897,-0.11233333333333384
1994-11-01,1994,11,2.637,0.008333333333333304
1995-01-01,1995,1,1.931,-0.0804999999999998
1995-09-01,1995,9,3.268,-0.129
1996-07-01,1996,7,3.694,0.18349999999999955
1996-10-01,1996,10,2.858,-0.15133333333333354
1996-12-01,1996,12,1.994,-0.1140000000000001
2000-10-01,2000,10,3.0010000000000003,-0.008333333333333304
2001-06-01,2001,6,3.349,0.0
2002-11-01,2002,11,2.539,-0.08966666666666656
2003-10-01,2003,10,3.067,0.05766666666666653
2004-08-01,2004,8,3.59,0.05649999999999977
2005-09-01,2005,9,3.391,-0.005999999999999783
2009-10-01,2009,10,3.099,0.08966666666666656
2010-12-01,2010,12,2.222,0.11399999999999988
2012-04-01,2012,4,2.839,0.0
2012-10-01,2012,10,3.134,0.12466666666666626
2012-11-01,2012,11,2.71,0.08133333333333326
2015-01-01,2015,1,2.092,0.08050000000000024
2020-09-01,2020,9,3.532,0.13500000000000023
