DATE,YEAR,MONTH,TAVG,TEMP_ANOMALY
1958-10-01,1958,10,2.283,-0.12258333333333349
1958-11-01,1958,11,1.819,0.13007142857142862
1958-12-01,1958,12,1.402,0.23636363636363633
1959-01-01,1959,1,1.082,0.034357142857142975
1959-02-01,1959,2,1.263,-0.016277777777777835
1959-04-01,1959,4,2.137,-0.14328571428571424
1959-05-01,1959,5,2.903,0.18400000000000016
1959-06-01,1959,6,3.103,-0.07853333333333312
1959-07-01,1959,7,3.024,-0.2176111111111112
1959-08-01,1959,8,3.156,-0.052266666666666683
1959-09-01,1959,9,3.093,0.07452941176470596
1959-10-01,1959,10,2.502,0.09641666666666637
1959-11-01,1959,11,1.845,0.15607142857142864
1959-12-01,1959,12,1.127,-0.03863636363636358
1960-01-01,1960,1,1.017,-0.030642857142857194
1960-02-01,1960,2,1.593,0.31372222222222224
1960-03-01,1960,3,1.805,0.05354545454545456
1960-04-01,1960,4,2.2920000000000003,0.01171428571428601
1960-05-01,1960,5,2.7190000000000003,4.440892098500626e-16
1960-06-01,1960,6,3.217,0.03546666666666676
1960-07-01,1960,7,3.244,0.002388888888888996
1960-08-01,1960,8,3.208,-0.0002666666666666373
1960-09-01,1960,9,2.945,-0.07347058823529418
1960-10-01,1960,10,2.725,0.3194166666666667
1960-12-01,1960,12,1.117,-0.04863636363636359
1961-01-01,1961,1,0.967,-0.08064285714285713
1961-02-01,1961,2,1.151,-0.1282777777777777
1961-03-01,1961,3,1.469,-0.2824545454545453
1961-04-01,1961,4,2.19,-0.0902857142857143
1961-05-01,1961,5,2.741,0.02200000000000024
1961-06-01,1961,6,3.002,-0.17953333333333354
1961-07-01,1961,7,3.024,-0.2176111111111112
1961-08-01,1961,8,2.979,-0.22926666666666673
1961-09-01,1961,9,2.581,-0.43747058823529406
1961-10-01,1961,10,2.265,-0.14058333333333328
1961-11-01,1961,11,1.944,0.2550714285714286
1961-12-01,1961,12,1.114,-0.05163636363636348
1962-01-01,1962,1,1.003,-0.044642857142857206
1962-02-01,1962,2,1.038,-0.2412777777777777
1962-03-01,1962,3,1.751,-0.00045454545454548523
1962-04-01,1962,4,2.21,-0.07028571428571428
1962-05-01,1962,5,2.679,-0.040000000000000036
1962-06-01,1962,6,3.02,-0.1615333333333333
1962-07-01,1962,7,3.098,-0.14361111111111136
1962-08-01,1962,8,2.97,-0.23826666666666663
1962-09-01,1962,9,2.778,-0.240470588235294
1962-10-01,1962,10,2.357,-0.0485833333333332
1962-11-01,1962,11,1.846,0.15707142857142875
1962-12-01,1962,12,1.093,-0.07263636363636361
1963-01-01,1963,1,1.349,0.3013571428571429
1963-02-01,1963,2,1.346,0.06672222222222235
1963-03-01,1963,3,1.582,-0.1694545454545453
1963-04-01,1963,4,2.352,0.07171428571428562
1963-05-01,1963,5,2.445,-0.274
1963-06-01,1963,6,3.006,-0.17553333333333354
1963-07-01,1963,7,3.18,-0.06161111111111106
1963-08-01,1963,8,3.079,-0.12926666666666664
1963-09-01,1963,9,3.041,0.02252941176470591
1963-10-01,1963,10,2.143,-0.2625833333333336
1963-11-01,1963,11,1.691,0.002071428571428724
1963-12-01,1963,12,1.494,0.3283636363636364
1964-01-01,1964,1,1.007,-0.0406428571428572
1964-02-01,1964,2,1.249,-0.030277777777777626
1964-03-01,1964,3,1.937,0.18554545454545468
1964-04-01,1964,4,2.108,-0.17228571428571415
1964-05-01,1964,5,2.548,-0.17099999999999982
1964-06-01,1964,6,3.163,-0.018533333333333513
1964-07-01,1964,7,3.022,-0.21961111111111142
1964-08-01,1964,8,3.215,0.006733333333333036
1964-09-01,1964,9,2.564,-0.45447058823529396
1964-10-01,1964,10,2.194,-0.21158333333333346
1964-11-01,1964,11,1.5470000000000002,-0.14192857142857118
1964-12-01,1964,12,1.208,0.04236363636363638
1965-01-01,1965,1,1.126,0.07835714285714279
1965-02-01,1965,2,1.228,-0.051277777777777755
1965-03-01,1965,3,1.723,-0.028454545454545288
1965-04-01,1965,4,2.091,-0.18928571428571406
1965-05-01,1965,5,2.532,-0.18699999999999983
1965-07-01,1965,7,3.077,-0.16461111111111126
1965-08-01,1965,8,3.007,-0.2012666666666667
1965-09-01,1965,9,2.896,-0.12247058823529411
1965-10-01,1965,10,2.506,0.10041666666666638
1965-11-01,1965,11,1.6789999999999998,-0.009928571428571509
1965-12-01,1965,12,1.108,-0.057636363636363486
1966-01-01,1966,1,1.1949999999999998,0.14735714285714274
1966-02-01,1966,2,1.464,0.18472222222222223
1966-03-01,1966,3,1.447,-0.3044545454545453
1966-04-01,1966,4,2.125,-0.15528571428571425
1966-05-01,1966,5,2.471,-0.24799999999999978
1966-06-01,1966,6,3.047,-0.13453333333333317
1966-07-01,1966,7,3.164,-0.07761111111111108
1966-08-01,1966,8,3.044,-0.16426666666666678
1966-09-01,1966,9,2.752,-0.26647058823529424
1966-10-01,1966,10,2.347,-0.05858333333333343
1966-11-01,1966,11,1.682,-0.006928571428571395
1966-12-01,1966,12,0.945,-0.22063636363636363
1967-01-01,1967,1,0.876,-0.1716428571428571
1967-02-01,1967,2,1.307,0.027722222222222204
1967-03-01,1967,3,1.573,-0.17845454545454542
1967-04-01,1967,4,2.209,-0.07128571428571417
1967-05-01,1967,5,2.691,-0.028000000000000025
