DATE,YEAR,MONTH,TAVG,TEMP_ANOMALY
1888-01-01,1888,1,0.784,-0.18699999999999994
1888-03-01,1888,3,1.242,-0.18999999999999995
1888-04-01,1888,4,1.672,-0.03400000000000003
1888-05-01,1888,5,2.01,
1888-06-01,1888,6,2.567,-0.20749999999999957
1888-07-01,1888,7,2.96,-0.3065000000000002
1888-08-01,1888,8,2.653,
1888-09-01,1888,9,2.468,-0.17899999999999983
1888-10-01,1888,10,1.732,-0.12949999999999995
1888-11-01,1888,11,1.246,-0.08899999999999997
1888-12-01,1888,12,0.96,-0.07800000000000007
1889-03-01,1889,3,1.112,-0.31999999999999984
1889-04-01,1889,4,1.506,-0.19999999999999996
1889-07-01,1889,7,2.882,-0.38450000000000006
1889-08-01,1889,8,2.93,
1890-02-01,1890,2,0.897,0.0009999999999998899
1890-04-01,1890,4,1.408,-0.29800000000000004
1890-07-01,1890,7,2.8280000000000003,-0.4384999999999999
1890-08-01,1890,8,2.802,
1890-09-01,1890,9,2.207,-0.43999999999999995
1890-10-01,1890,10,1.58,-0.28149999999999986
1890-11-01,1890,11,1.073,-0.262
1892-02-01,1892,2,1.088,0.19199999999999995
1892-03-01,1892,3,1.471,0.039000000000000146
1892-04-01,1892,4,1.435,-0.2709999999999999
1892-05-01,1892,5,1.908,
1892-06-01,1892,6,2.685,-0.08949999999999969
1892-10-01,1892,10,1.807,-0.05449999999999999
1892-11-01,1892,11,1.1880000000000002,-0.1469999999999998
1892-12-01,1892,12,0.945,-0.09300000000000008
1893-01-01,1893,1,0.739,-0.23199999999999998
1893-02-01,1893,2,1.045,0.1489999999999998
1893-03-01,1893,3,1.45,0.018000000000000016
1893-06-01,1893,6,2.643,-0.13149999999999995
1893-08-01,1893,8,2.793,
1893-10-01,1893,10,1.962,0.10050000000000003
1893-12-01,1893,12,0.774,-0.264
1895-02-01,1895,2,1.317,0.4209999999999998
1895-03-01,1895,3,1.265,-0.16700000000000004
1895-04-01,1895,4,1.916,0.20999999999999996
1895-05-01,1895,5,1.928,
1895-06-01,1895,6,2.573,-0.2014999999999998
1895-07-01,1895,7,2.9,-0.36650000000000027
1895-08-01,1895,8,2.632,
1895-09-01,1895,9,2.356,-0.2909999999999999
1895-10-01,1895,10,2.157,0.2955000000000001
1895-12-01,1895,12,1.023,-0.015000000000000124
1897-01-01,1897,1,0.717,-0.254
1897-02-01,1897,2,1.0699999999999998,0.1739999999999997
1897-04-01,1897,4,1.625,-0.08099999999999996
1897-05-01,1897,5,2.1,
1897-06-01,1897,6,2.569,-0.2054999999999998
1897-07-01,1897,7,2.802,-0.46450000000000014
1897-08-01,1897,8,2.855,
1897-09-01,1897,9,2.287,-0.3599999999999999
1898-01-01,1898,1,0.733,-0.238
1898-03-01,1898,3,1.174,-0.258
1898-04-01,1898,4,1.49,-0.21599999999999997
1898-05-01,1898,5,1.937,
1898-06-01,1898,6,2.623,-0.15149999999999952
1898-08-01,1898,8,2.839,
1898-09-01,1898,9,2.348,-0.29899999999999993
1898-10-01,1898,10,1.89,0.02849999999999997
1898-11-01,1898,11,1.302,-0.03299999999999992
1898-12-01,1898,12,0.669,-0.369
1899-01-01,1899,1,0.8550000000000001,-0.11599999999999988
1899-02-01,1899,2,1.139,0.24299999999999988
1899-03-01,1899,3,1.14,-0.29200000000000004
1899-04-01,1899,4,1.762,0.05600000000000005
1899-05-01,1899,5,2.145,
1899-06-01,1899,6,2.277,-0.4974999999999996
1899-07-01,1899,7,2.692,-0.5745
1899-08-01,1899,8,2.669,
1899-09-01,1899,9,2.405,-0.242
1899-10-01,1899,10,1.928,0.0665
1899-11-01,1899,11,1.2029999999999998,-0.13200000000000012
1899-12-01,1899,12,0.8949999999999999,-0.14300000000000013
1900-01-01,1900,1,0.768,-0.20299999999999996
1900-02-01,1900,2,1.374,0.478
1900-03-01,1900,3,1.139,-0.2929999999999999
1900-04-01,1900,4,1.46,-0.246
1900-05-01,1900,5,1.845,
1900-06-01,1900,6,2.359,-0.41549999999999976
1900-08-01,1900,8,2.6710000000000003,
