DATE,YEAR,MONTH,TAVG,TEMP_ANOMALY
1966-03-01,1966,3,1.1949999999999998,-0.2343333333333335
1966-04-01,1966,4,1.6010000000000002,-0.0465833333333332
1966-06-01,1966,6,2.114,-0.14500000000000002
1966-07-01,1966,7,2.287,-0.2341875
1966-08-01,1966,8,2.393,-0.22088888888888913
1966-09-01,1966,9,2.159,-0.23575000000000035
1966-10-01,1966,10,2.074,-0.07184615384615389
1966-11-01,1966,11,1.362,-0.4041428571428569
1967-02-01,1967,2,1.19,-0.09445454545454557
1967-06-01,1967,6,1.908,-0.351
1967-08-01,1967,8,2.555,-0.05888888888888877
1967-09-01,1967,9,2.24,-0.15474999999999994
1973-03-01,1973,3,1.091,-0.3383333333333334
1973-06-01,1973,6,2.169,-0.08999999999999986
1973-08-01,1973,8,2.476,-0.13788888888888895
1973-11-01,1973,11,1.491,-0.2751428571428569
1973-12-01,1973,12,1.269,-0.1691666666666667
1974-12-01,1974,12,1.1960000000000002,-0.24216666666666642
1975-03-01,1975,3,1.227,-0.20233333333333325
1975-04-01,1975,4,1.382,-0.2655833333333335
1975-06-01,1975,6,1.991,-0.2679999999999998
1975-07-01,1975,7,2.345,-0.17618749999999972
1975-08-01,1975,8,2.442,-0.17188888888888876
1975-09-01,1975,9,2.3760000000000003,-0.018749999999999822
1975-10-01,1975,10,1.817,-0.3288461538461538
1975-11-01,1975,11,1.465,-0.30114285714285693
1975-12-01,1975,12,1.271,-0.16716666666666669
1976-01-01,1976,1,1.108,-0.18574999999999986
1976-02-01,1976,2,1.16,-0.1244545454545456
1977-01-01,1977,1,1.322,0.02825000000000011
1977-02-01,1977,2,1.344,0.05954545454545457
1977-03-01,1977,3,1.407,-0.022333333333333316
1979-05-01,1979,5,1.771,-0.1561176470588237
1980-07-01,1980,7,2.196,-0.32518749999999974
1980-08-01,1980,8,2.428,-0.185888888888889
1981-01-01,1981,1,0.99,-0.30374999999999996
1981-06-01,1981,6,2.068,-0.19099999999999984
1981-08-01,1981,8,2.369,-0.2448888888888887
1981-11-01,1981,11,1.5,-0.266142857142857
1982-02-01,1982,2,1.228,-0.056454545454545535
1982-03-01,1982,3,1.332,-0.09733333333333327
1982-05-01,1982,5,1.804,-0.12311764705882355
1982-06-01,1982,6,2.324,0.06499999999999995
1982-07-01,1982,7,2.695,0.17381249999999993
1982-08-01,1982,8,2.451,-0.16288888888888886
1982-10-01,1982,10,2.039,-0.10684615384615359
1983-04-01,1983,4,1.674,0.026416666666666533
1984-02-01,1984,2,1.19,-0.09445454545454557
1984-04-01,1984,4,1.503,-0.1445833333333335
1984-09-01,1984,9,2.224,-0.17074999999999996
1985-05-01,1985,5,1.803,-0.12411764705882367
1985-07-01,1985,7,2.482,-0.03918749999999971
1985-08-01,1985,8,2.42,-0.193888888888889
