STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AE000041196,1944-04-01,25.333,55.517,34.0,"SHARJAH INTER. AIRP, AE",,,184.1,"4,I",0.0,",I",0.0,",I",0.0,",I",0.0,"4,I",0.0,"4,I",0.0,",I",30.0,",I",13.0,",I",19440405.0,",4,I",19440430.0,"+,,I",19440408.0,",,I",13.5,"4,I,05,",0.0,",,I,30,+",39.1,",I,08,",,,0.0,",I",0.0,",,,I",2.537,"4,I",3.215,",,,I",1.86,"4,,,I"
AE000041196,1944-05-01,25.333,55.517,34.0,"SHARJAH INTER. AIRP, AE",,,304.9,",I",0.0,",I",0.0,",I",0.0,",I",0.0,",I",0.0,",I",0.0,",I",31.0,",I",27.0,",I",19440525.0,"+,,I",19440531.0,"+,,I",19440518.0,",,I",17.4,",I,25,+",0.0,",,I,31,+",41.3,",I,18,",,,0.0,",I",0.0,",,,I",2.817,",I",3.4869999999999997,",,,I",2.147,",,,I"
AE000041196,1944-06-01,25.333,55.517,34.0,"SHARJAH INTER. AIRP, AE",,,389.2,"1,I",0.0,",I",0.0,",I",0.0,",I",0.0,"1,I",0.0,"1,I",0.0,",I",30.0,",I",30.0,",I",19440624.0,"+,1,I",19440630.0,"+,,I",19440629.0,",,I",21.9,"1,I,24,+",0.0,",,I,30,+",44.6,",I,29,",,,0.0,",I",0.0,",,,I",3.1719999999999997,"1,I",3.933,",,,I",2.411,"1,,,I"
AE000041196,1944-07-01,25.333,55.517,34.0,"SHARJAH INTER. AIRP, AE",,,421.8,"4,I",0.0,",I",0.0,",I",0.0,",I",0.0,"2,I",0.0,"2,I",0.0,"2,I",29.0,"2,I",29.0,"2,I",19440704.0,",2,I",19440731.0,"+,,I",19440707.0,",2,I",25.2,"2,I,04,",0.0,",,I,31,+",44.6,"2,I,07,",0.0,I,0.0,"2,I",0.0,",,,I",3.3909999999999996,"4,I",3.905,"2,,,I",2.8760000000000003,"2,,,I"
AE000041196,1944-08-01,25.333,55.517,34.0,"SHARJAH INTER. AIRP, AE",,,496.0,",I",0.0,",I",0.0,",I",0.0,",I",0.0,",I",0.0,",I",0.0,",I",31.0,",I",31.0,",I",19440830.0,"+,,I",19440831.0,"+,,I",19440814.0,",,I",25.2,",I,30,+",0.0,",,I,31,+",47.4,",I,14,",0.0,I,0.0,",I",0.0,",,,I",3.433,",I",4.005,",,,I",2.862,",,,I"
AE000041196,1944-09-01,25.333,55.517,34.0,"SHARJAH INTER. AIRP, AE",,,388.7,",I",0.0,",I",0.0,",I",0.0,",I",0.0,",I",0.0,",I",0.0,",I",30.0,",I",30.0,",I",19440920.0,",,I",19440930.0,"+,,I",19440902.0,",,I",20.2,",I,20,",0.0,",,I,30,+",45.8,",I,02,",0.0,I,0.0,",I",0.0,",,,I",3.129,",I",3.867,",,,I",2.3899999999999997,",,,I"
AE000041196,1944-10-01,25.333,55.517,34.0,"SHARJAH INTER. AIRP, AE",,,294.0,"1,I",0.0,",I",0.0,",I",0.0,",I",0.0,"1,I",0.0,"1,I",0.0,",I",31.0,",I",31.0,",I",19441021.0,",1,I",19441031.0,"+,,I",19441006.0,",,I",18.0,"1,I,21,",0.0,",,I,31,+",40.8,",I,06,",0.0,I,0.0,",I",0.0,",,,I",2.819,"1,I",3.562,",,,I",2.077,"1,,,I"
AE000041196,1944-11-01,25.333,55.517,34.0,"SHARJAH INTER. AIRP, AE",,,191.7,"1,I",1.0,",I",1.0,",I",1.0,",I",0.0,"1,I",0.0,"1,I",0.0,",I",30.0,",I",18.0,",I",19441125.0,",1,I",19441130.0,",,I",19441104.0,",,I",13.5,"1,I,25,",26.9,",,I,30,",36.9,",I,04,",0.0,I,0.0,",I",26.9,",,,I",2.493,"1,I",3.214,",,,I",1.7710000000000001,"1,,,I"
AE000041196,1944-12-01,25.333,55.517,34.0,"SHARJAH INTER. AIRP, AE",,,47.5,",I",13.0,",I",8.0,",I",2.0,",I",0.0,",I",0.0,",I",0.0,",I",30.0,",I",0.0,",I",19441231.0,",,I",19441218.0,",,I",19441202.0,",,I",11.3,",I,31,",46.0,",,I,18,",30.8,",I,02,",4.3,I,4.3,",I",150.9,",,,I",1.973,",I",2.467,",,,I",1.478,",,,I"
AE000041196,1945-01-01,25.333,55.517,34.0,"SHARJAH INTER. AIRP, AE",6.5,,6.5,"2,I",5.0,",I",4.0,",I",0.0,",I",0.0,",I",0.0,",I",0.0,"2,I",28.0,"2,I",0.0,"2,I",19450130.0,",,I",19450117.0,",,I",19450114.0,",2,I",8.0,",I,30,",21.1,",,I,17,",25.8,"2,I,14,",46.5,,42.2,"2,I",43.2,",,,I",1.716,"2,I",2.293,"2,,,I",1.1380000000000001,",,,I"
