STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AEM00041217,1983-06-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"5,S",25.0,"5,S",25.0,"5,S",19830602.0,",5,S",,,19830603.0,",5,S",21.2,"5,S,02,",,,44.2,"5,S,03,",,,,,,,3.2700000000000005,"9,S",3.9899999999999998,"5,,,S",2.55,"5,,,S"
AEM00041217,1984-02-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"4,S",0.0,"4,S",0.0,"4,S",23.0,"4,S",0.0,"4,S",19840203.0,",4,S",,,19840226.0,",4,S",7.7,"4,S,03,",,,30.6,"4,S,26,",,,,,,,1.9129999999999998,"7,S",2.618,"4,,,S",1.208,"4,,,S"
AEM00041217,1984-10-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",229.4,"5,S",,,,,,,0.0,"2,S",0.0,"2,S",0.0,"3,S",28.0,"3,S",21.0,"3,S",19841030.0,",2,S",,,19841009.0,",3,S",14.6,"2,S,30,",,,39.5,"3,S,09,",,,0.0,"3,S",,,2.7190000000000003,"5,S",3.4520000000000004,"3,,,S",1.986,"2,,,S"
AEM00041217,1985-05-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"2,S",0.0,"2,S",0.0,"5,S",26.0,"5,S",25.0,"5,S",19850503.0,",2,S",,,19850527.0,",5,S",17.9,"2,S,03,",,,44.4,"5,S,27,",,,,,,,3.029,"7,S",3.7700000000000005,"5,,,S",2.288,"2,,,S"
AEM00041217,1985-06-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"3,S",27.0,"3,S",27.0,"3,S",19850605.0,",5,S",,,19850606.0,",3,S",21.3,"5,S,05,",,,44.2,"3,S,06,",,,,,,,3.165,"8,S",3.9270000000000005,"3,,,S",2.403,"5,,,S"
AEM00041217,1985-09-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"2,S",28.0,"2,S",28.0,"2,S",19850929.0,",5,S",,,19850906.0,",2,S",21.6,"5,S,29,",,,44.0,"2,S,06,",,,,,,,3.28,"7,S",4.098,"2,,,S",2.462,"5,,,S"
AEM00041217,1985-10-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"5,S",26.0,"5,S",23.0,"5,S",19851030.0,",5,S",,,19851002.0,",5,S",18.8,"5,S,30,",,,40.3,"5,S,02,",,,,,,,2.8760000000000003,"0,S",3.5549999999999997,"5,,,S",2.198,"5,,,S"
AEM00041217,1986-08-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",450.7,"5,S",,,,,,,0.0,"4,S",0.0,"4,S",0.0,"2,S",29.0,"2,S",29.0,"2,S",19860816.0,",4,S",,,19860806.0,",2,S",17.0,"4,S,16,",,,46.4,"2,S,06,",,,0.0,"2,S",,,3.562,"5,S",4.273,"2,,,S",2.851,"4,,,S"
AEM00041217,1986-09-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"4,S",0.0,"4,S",0.0,"2,S",28.0,"2,S",28.0,"2,S",19860927.0,",4,S",,,19860902.0,",2,S",21.8,"4,S,27,",,,43.3,"2,S,02,",,,,,,,3.3049999999999997,"6,S",4.116,"2,,,S",2.493,"4,,,S"
AEM00041217,1986-10-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"2,S",29.0,"2,S",28.0,"2,S",19861028.0,",5,S",,,19861002.0,",2,S",19.7,"5,S,28,",,,42.8,"2,S,02,",,,,,,,2.923,"7,S",3.664,"2,,,S",2.181,"5,,,S"
AEM00041217,1986-11-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"1,S",29.0,"1,S",8.0,"1,S",19861117.0,",5,S",,,19861110.0,"+,1,S",13.3,"5,S,17,",,,36.9,"1,S,10,+",,,,,,,2.444,"6,S",3.1100000000000003,"1,,,S",1.778,"5,,,S"
AEM00041217,1987-01-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"4,S",27.0,"4,S",0.0,"4,S",19870118.0,",5,S",,,19870127.0,",4,S",8.4,"5,S,18,",,,31.0,"4,S,27,",,,,,,,1.784,"9,S",2.44,"4,,,S",1.127,"5,,,S"
AEM00041217,1987-04-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"3,S",0.0,"3,S",0.0,"5,S",25.0,"5,S",14.0,"5,S",19870402.0,",3,S",,,19870426.0,",5,S",14.2,"3,S,02,",,,40.7,"5,S,26,",,,,,,,2.613,"7,S",3.3560000000000003,"5,,,S",1.8699999999999999,"3,,,S"
AEM00041217,1987-07-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"3,S",0.0,"3,S",0.0,"4,S",27.0,"4,S",27.0,"4,S",19870711.0,",3,S",,,19870724.0,",4,S",24.0,"3,S,11,",,,47.4,"4,S,24,",,,,,,,3.522,"7,S",4.298,"4,,,S",2.746,"3,,,S"
AEM00041217,1987-10-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"4,S",0.0,"4,S",0.0,"4,S",27.0,"4,S",26.0,"4,S",19871013.0,",4,S",,,19871005.0,",4,S",12.0,"4,S,13,",,,40.6,"4,S,05,",,,,,,,2.8609999999999998,"8,S",3.5840000000000005,"4,,,S",2.138,"4,,,S"
AEM00041217,1988-08-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",469.9,"3,S",,,,,,,0.0,"1,S",0.0,"1,S",0.0,"2,S",29.0,"2,S",29.0,"2,S",19880825.0,",1,S",,,19880812.0,",2,S",25.2,"1,S,25,",,,44.5,"2,S,12,",,,0.0,"2,S",,,3.5090000000000003,"3,S",4.134,"2,,,S",2.884,"1,,,S"
AEM00041217,1988-10-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"2,S",0.0,"2,S",0.0,"4,S",27.0,"4,S",27.0,"4,S",19881029.0,",2,S",,,19881001.0,",4,S",20.1,"2,S,29,",,,40.5,"4,S,01,",,,,,,,2.955,"6,S",3.651,"4,,,S",2.259,"2,,,S"
AEM00041217,1989-05-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",314.8,"4,S",,,,,,,0.0,"2,S",0.0,"2,S",0.0,"3,S",28.0,"3,S",28.0,"3,S",19890503.0,",2,S",,,19890513.0,",3,S",17.4,"2,S,03,",,,43.1,"3,S,13,",,,0.0,"3,S",,,2.994,"4,S",3.815,"3,,,S",2.173,"2,,,S"
AEM00041217,1989-10-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",274.0,"5,S",,,,,,,0.0,"2,S",0.0,"2,S",0.0,"4,S",27.0,"4,S",26.0,"4,S",19891018.0,",2,S",,,19891008.0,",4,S",17.5,"2,S,18,",,,40.7,"4,S,08,",,,0.0,"4,S",,,2.882,"5,S",3.5770000000000004,"4,,,S",2.1870000000000003,"2,,,S"
AEM00041217,1989-11-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",166.8,"5,S",,,,,,,0.0,"3,S",0.0,"3,S",0.0,"2,S",28.0,"2,S",11.0,"2,S",19891129.0,",3,S",,,19891102.0,",2,S",15.2,"3,S,29,",,,36.0,"2,S,02,",,,0.0,"2,S",,,2.502,"5,S",3.147,"2,,,S",1.857,"3,,,S"
AEM00041217,1990-07-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"3,S",28.0,"3,S",28.0,"3,S",19900707.0,",5,S",,,19900717.0,",3,S",24.4,"5,S,07,",,,47.0,"3,S,17,",,,,,,,3.531,"7,S",4.309,"3,,,S",2.753,"5,,,S"
AEM00041217,1990-08-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"4,S",27.0,"4,S",27.0,"4,S",19900828.0,",5,S",,,19900807.0,",4,S",26.0,"5,S,28,",,,45.0,"4,S,07,",,,,,,,3.532,"8,S",4.181,"4,,,S",2.882,"5,,,S"
AEM00041217,1990-09-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"2,S",0.0,"2,S",0.0,"5,S",25.0,"5,S",25.0,"5,S",19900930.0,",2,S",,,19900915.0,",5,S",25.0,"2,S,30,",,,43.3,"5,S,15,",,,,,,,3.354,"7,S",4.0,"5,,,S",2.709,"2,,,S"
AEM00041217,1990-12-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",69.4,"5,S",,,,,,,0.0,"4,S",0.0,"4,S",0.0,"1,S",30.0,"1,S",0.0,"1,S",19901230.0,",4,S",,,19901206.0,",1,S",8.8,"4,S,30,",,,30.8,"1,S,06,",,,3.8,"1,S",,,2.081,"5,S",2.713,"1,,,S",1.448,"4,,,S"
AEM00041217,1991-06-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",355.0,"4,S",,,,,,,0.0,"2,S",0.0,"2,S",0.0,"3,S",27.0,"3,S",27.0,"3,S",19910607.0,",2,S",,,19910628.0,",3,S",19.8,"2,S,07,",,,47.0,"3,S,28,",,,0.0,"3,S",,,3.211,"4,S",4.017,"3,,,S",2.4050000000000002,"2,,,S"
AEM00041217,1991-08-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"3,S",0.0,"3,S",0.0,"5,S",26.0,"5,S",26.0,"5,S",19910817.0,",3,S",,,19910801.0,",5,S",27.0,"3,S,17,",,,44.7,"5,S,01,",,,,,,,3.5409999999999995,"8,S",4.154999999999999,"5,,,S",2.926,"3,,,S"
AEM00041217,1992-04-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",169.2,"5,S",,,,,,,0.0,"4,S",0.0,"4,S",0.0,"2,S",28.0,"2,S",13.0,"2,S",19920406.0,",4,S",,,19920425.0,",2,S",13.0,"4,S,06,",,,41.1,"2,S,25,",,,0.0,"2,S",,,2.491,"5,S",3.211,"2,,,S",1.7710000000000001,"4,,,S"
AEM00041217,1992-06-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"2,S",0.0,"2,S",0.0,"5,S",25.0,"5,S",25.0,"5,S",19920616.0,",2,S",,,19920609.0,",5,S",22.6,"2,S,16,",,,46.0,"5,S,09,",,,,,,,3.276,"6,S",4.0840000000000005,"5,,,S",2.468,"2,,,S"
AEM00041217,1992-07-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",398.7,"5,S",,,,,,,0.0,"4,S",0.0,"4,S",0.0,"2,S",29.0,"2,S",29.0,"2,S",19920728.0,",4,S",,,19920708.0,",2,S",24.9,"4,S,28,",,,45.5,"2,S,08,",0.0,S,0.0,"2,S",,,3.3609999999999998,"5,S",4.015,"2,,,S",2.7079999999999997,"4,,,S"
AEM00041217,1992-08-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"2,S",29.0,"2,S",29.0,"2,S",19920803.0,",5,S",,,19920823.0,",2,S",25.4,"5,S,03,",,,45.6,"2,S,23,",,,,,,,3.475,"6,S",4.152,"2,,,S",2.7969999999999997,"5,,,S"
AEM00041217,1992-10-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"5,S",26.0,"5,S",24.0,"5,S",19921028.0,",5,S",,,19921003.0,",5,S",17.8,"5,S,28,",,,39.4,"5,S,03,",,,,,,,2.852,"9,S",3.493,"5,,,S",2.211,"5,,,S"
AEM00041217,1992-11-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"5,S",25.0,"5,S",7.0,"5,S",19921126.0,",5,S",,,19921108.0,",5,S",14.7,"5,S,26,",,,34.2,"5,S,08,",,,,,,,2.399,"7,S",3.039,"5,,,S",1.759,"5,,,S"
AEM00041217,1993-06-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"2,S",0.0,"2,S",0.0,"5,S",25.0,"5,S",25.0,"5,S",19930628.0,",2,S",,,19930630.0,"+,5,S",22.4,"2,S,28,",,,44.4,"5,S,30,+",,,,,,,3.283,"6,S",4.086,"5,,,S",2.48,"2,,,S"
AEM00041217,1993-10-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",275.6,"5,S",,,,,,,0.0,"4,S",0.0,"4,S",0.0,"1,S",30.0,"1,S",30.0,"1,S",19931022.0,",4,S",,,19931016.0,",1,S",16.9,"4,S,22,",,,39.4,"1,S,16,",,,0.0,"1,S",,,2.891,"5,S",3.6630000000000003,"1,,,S",2.12,"4,,,S"
AEM00041217,1994-01-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"5,S",26.0,"5,S",0.0,"5,S",19940112.0,",5,S",,,19940104.0,",5,S",9.1,"5,S,12,",,,31.4,"5,S,04,",,,,,,,1.906,"9,S",2.568,"5,,,S",1.244,"5,,,S"
AEM00041217,1994-09-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",369.9,"5,S",,,,,,,0.0,"3,S",0.0,"3,S",0.0,"3,S",27.0,"3,S",27.0,"3,S",19940920.0,",3,S",,,19940911.0,",3,S",20.4,"3,S,20,",,,43.5,"3,S,11,",,,0.0,"3,S",,,3.31,"5,S",4.002000000000001,"3,,,S",2.618,"3,,,S"
AEM00041217,1995-01-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",,,,,,,,,0.0,"4,S",0.0,"4,S",0.0,"3,S",28.0,"3,S",0.0,"3,S",19950129.0,",4,S",,,19950118.0,",3,S",9.6,"4,S,29,",,,29.4,"3,S,18,",,,,,,,1.8829999999999998,"7,S",2.482,"3,,,S",1.283,"4,,,S"
AEM00041217,1995-07-01,24.433,54.651,26.8,"ABU DHABI INTERNATIONAL, AE",389.3,"5,S",,,,,,,0.0,"4,S",0.0,"4,S",0.0,"1,S",30.0,"1,S",29.0,"1,S",19950702.0,",4,S",,,19950731.0,",1,S",25.1,"4,S,02,",,,43.6,"1,S,31,",0.0,S,0.0,"1,S",,,3.314,"5,S",3.8850000000000002,"1,,,S",2.742,"4,,,S"
