STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AEM00041218,1994-05-01,24.262,55.609,264.9,"AL AIN INTERNATIONAL, AE",,,,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"2,S",29.0,"2,S",29.0,"2,S",19940512.0,",5,S",,,19940531.0,",2,S",18.9,"5,S,12,",,,46.7,"2,S,31,",,,,,3.3409999999999997,"6,S",4.14,"2,,,S",2.5420000000000003,"5,,,S"
AEM00041218,1994-08-01,24.262,55.609,264.9,"AL AIN INTERNATIONAL, AE",,,504.0,"4,S",,,,,,,0.0,"2,S",0.0,"2,S",0.0,"3,S",28.0,"3,S",28.0,"3,S",19940828.0,",2,S",,,19940811.0,",3,S",25.4,"2,S,28,",,,48.2,"3,S,11,",0.0,"3,S",,,3.7020000000000004,"4,S",4.381,"3,,,S",3.024,"2,,,S"
AEM00041218,1994-09-01,24.262,55.609,264.9,"AL AIN INTERNATIONAL, AE",,,433.9,"2,S",,,,,,,0.0,"2,S",0.0,"2,S",0.0,",S",30.0,",S",30.0,",S",19940927.0,",2,S",,,19940904.0,",,S",22.2,"2,S,27,",,,44.1,",S,04,",0.0,",S",,,3.386,"2,S",4.1259999999999994,",,,S",2.645,"2,,,S"
AEM00041218,1994-10-01,24.262,55.609,264.9,"AL AIN INTERNATIONAL, AE",,,348.1,"1,S",,,,,,,0.0,"1,S",0.0,"1,S",0.0,",S",31.0,",S",31.0,",S",19941030.0,",1,S",,,19941004.0,",,S",19.9,"1,S,30,",,,40.2,",S,04,",0.0,",S",,,2.997,"1,S",3.682,",,,S",2.3129999999999997,"1,,,S"
AEM00041218,1994-11-01,24.262,55.609,264.9,"AL AIN INTERNATIONAL, AE",,,211.5,"3,S",,,,,,,0.0,"2,S",0.0,"2,S",0.0,"1,S",29.0,"1,S",13.0,"1,S",19941128.0,",2,S",,,19941103.0,",1,S",16.2,"2,S,28,",,,35.5,"1,S,03,",0.0,"1,S",,,2.6100000000000003,"3,S",3.242,"1,,,S",1.9780000000000002,"2,,,S"
AEM00041218,1994-12-01,24.262,55.609,264.9,"AL AIN INTERNATIONAL, AE",,,56.8,"4,S",,,,,,,0.0,"4,S",0.0,"4,S",0.0,",S",31.0,",S",1.0,",S",19941228.0,",4,S",,,19941201.0,",,S",7.5,"4,S,28,",,,32.5,",S,01,",10.9,",S",,,1.9899999999999998,"4,S",2.634,",,,S",1.346,"4,,,S"
AEM00041218,1995-01-01,24.262,55.609,264.9,"AL AIN INTERNATIONAL, AE",33.5,S,33.5,"1,S",,,,,,,0.0,",S",0.0,",S",0.0,"1,S",30.0,"1,S",0.0,"1,S",19950128.0,",,S",,,19950115.0,",1,S",10.4,",S,28,",,,28.4,"1,S,15,",6.6,"1,S",,,1.925,"1,S",2.571,"1,,,S",1.279,",,,S"
AEM00041218,1995-02-01,24.262,55.609,264.9,"AL AIN INTERNATIONAL, AE",,,,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"1,S",26.0,"1,S",2.0,"1,S",19950211.0,",5,S",,,19950208.0,"+,1,S",8.7,"5,S,11,",,,32.6,"1,S,08,+",,,,,2.048,"6,S",2.6870000000000003,"1,,,S",1.41,"5,,,S"
AEM00041218,1995-03-01,24.262,55.609,264.9,"AL AIN INTERNATIONAL, AE",,,107.8,"3,S",,,,,,,0.0,"2,S",0.0,"2,S",0.0,"1,S",27.0,"1,S",2.0,"1,S",19950306.0,",2,S",,,19950326.0,",1,S",10.7,"2,S,06,",,,32.6,"1,S,26,",1.9,"1,S",,,2.199,"3,S",2.795,"1,,,S",1.6030000000000002,"2,,,S"
AEM00041218,1995-04-01,24.262,55.609,264.9,"AL AIN INTERNATIONAL, AE",,,243.3,"4,S",,,,,,,0.0,"4,S",0.0,"4,S",0.0,",S",30.0,",S",27.0,",S",19950408.0,",4,S",,,19950421.0,",,S",13.4,"4,S,08,",,,40.1,",S,21,",0.0,",S",,,2.754,"4,S",3.503,",,,S",2.005,"4,,,S"
AEM00041218,1995-05-01,24.262,55.609,264.9,"AL AIN INTERNATIONAL, AE",,,402.6,"3,S",,,,,,,0.0,"3,S",0.0,"3,S",0.0,"1,S",30.0,"1,S",30.0,"1,S",19950516.0,",3,S",,,19950521.0,",1,S",18.4,"3,S,16,",,,43.9,"1,S,21,",0.0,"1,S",,,3.2689999999999997,"3,S",4.146,"1,,,S",2.3920000000000003,"3,,,S"
AEM00041218,1995-06-01,24.262,55.609,264.9,"AL AIN INTERNATIONAL, AE",,,460.9,"3,S",,,,,,,0.0,"3,S",0.0,"3,S",0.0,",S",30.0,",S",30.0,",S",19950607.0,",3,S",,,19950611.0,",,S",22.5,"3,S,07,",,,47.7,",S,11,",0.0,",S",,,3.5340000000000003,"3,S",4.464,",,,S",2.604,"3,,,S"
AEM00041218,1995-08-01,24.262,55.609,264.9,"AL AIN INTERNATIONAL, AE",,,,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"3,S",28.0,"3,S",28.0,"3,S",19950821.0,",5,S",,,19950831.0,",3,S",26.3,"5,S,21,",,,47.0,"3,S,31,",,,,,3.72,"8,S",4.4270000000000005,"3,,,S",3.013,"5,,,S"
AEM00041218,1995-09-01,24.262,55.609,264.9,"AL AIN INTERNATIONAL, AE",,,,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"2,S",28.0,"2,S",28.0,"2,S",19950907.0,",5,S",,,19950901.0,",2,S",22.3,"5,S,07,",,,47.2,"2,S,01,",,,,,3.386,"7,S",4.173,"2,,,S",2.6,"5,,,S"
AEM00041218,1996-10-01,24.262,55.609,264.9,"AL AIN INTERNATIONAL, AE",,,,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"3,S",28.0,"3,S",28.0,"3,S",19961024.0,",5,S",,,19961002.0,",3,S",16.2,"5,S,24,",,,42.0,"3,S,02,",,,,,2.927,"8,S",3.683,"3,,,S",2.1719999999999997,"5,,,S"
AEM00041218,2006-11-01,24.262,55.609,264.9,"AL AIN INTERNATIONAL, AE",,,,,,,,,,,0.0,"4,S",0.0,"4,S",0.0,"3,S",27.0,"3,S",14.0,"3,S",20061124.0,",4,S",,,20061102.0,",3,S",15.2,"4,S,24,",,,37.5,"3,S,02,",,,,,2.571,"7,S",3.213,"3,,,S",1.9289999999999998,"4,,,S"
AEM00041218,2008-10-01,24.262,55.609,264.9,"AL AIN INTERNATIONAL, AE",,,340.0,"5,S",,,,,,,0.0,"5,S",0.0,"5,S",0.0,",S",31.0,",S",31.0,",S",20081029.0,",5,S",,,20081015.0,",,S",21.0,"5,S,29,",,,40.9,",S,15,",0.0,",S",,,3.13,"5,S",3.822,",,,S",2.4370000000000003,"5,,,S"
