STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AFM00040990,2018-12-01,31.5,65.85,1010.0,"KANDAHAR AIRPORT, AF",,,0.0,",S",,,,,,,0.0,",S",10.0,",S",0.0,",S",3.0,",S",0.0,",S",20181227.0,",,S",,,20181207.0,",,S",-2.3,",S,27,",,,22.2,",S,07,",,,270.5,",S",,,0.961,",S",1.746,",,,S",0.175,",,,S"
AFM00040990,2019-03-01,31.5,65.85,1010.0,"KANDAHAR AIRPORT, AF",,,,,,,,,,,0.0,"3,S",0.0,"3,S",0.0,"3,S",11.0,"3,S",0.0,"3,S",20190304.0,"+,3,S",,,20190327.0,",3,S",3.6,"3,S,04,+",,,27.9,"3,S,27,",,,,,,,1.405,"6,S",2.019,"3,,,S",0.79,"3,,,S"
AFM00040990,2019-04-01,31.5,65.85,1010.0,"KANDAHAR AIRPORT, AF",,,104.1,"4,S",,,,,,,0.0,"3,S",0.0,"3,S",0.0,"3,S",27.0,"3,S",5.0,"3,S",20190415.0,",3,S",,,20190421.0,",3,S",10.9,"3,S,15,",,,33.9,"3,S,21,",,,1.0,"3,S",,,2.2199999999999998,"4,S",2.91,"3,,,S",1.53,"3,,,S"
AFM00040990,2019-05-01,31.5,65.85,1010.0,"KANDAHAR AIRPORT, AF",,,202.1,"4,S",,,,,,,0.0,"4,S",0.0,"4,S",0.0,",S",31.0,",S",23.0,",S",20190501.0,",4,S",,,20190528.0,",,S",14.5,"4,S,01,",,,37.2,",S,28,",,,0.0,",S",,,2.587,"4,S",3.3369999999999997,",,,S",1.8370000000000002,"4,,,S"
AFM00040990,2019-06-01,31.5,65.85,1010.0,"KANDAHAR AIRPORT, AF",,,289.9,"5,S",,,,,,,0.0,"4,S",0.0,"4,S",0.0,"1,S",29.0,"1,S",29.0,"1,S",20190613.0,",4,S",,,20190630.0,",1,S",17.1,"4,S,13,",,,41.0,"1,S,30,",,,0.0,"1,S",,,2.989,"5,S",3.811,"1,,,S",2.1670000000000003,"4,,,S"
AFM00040990,2019-07-01,31.5,65.85,1010.0,"KANDAHAR AIRPORT, AF",,,404.1,"5,S",,,,,,,0.0,"5,S",0.0,"5,S",0.0,",S",31.0,",S",31.0,",S",20190709.0,",5,S",,,20190731.0,"+,,S",23.1,"5,S,09,",,,43.2,",S,31,+",0.0,S,0.0,",S",,,3.38,"5,S",4.1850000000000005,",,,S",2.574,"5,,,S"
AFM00040990,2019-09-01,31.5,65.85,1010.0,"KANDAHAR AIRPORT, AF",,,232.5,"4,S",,,,,,,0.0,"3,S",0.0,"3,S",0.0,"1,S",29.0,"1,S",29.0,"1,S",20190919.0,",3,S",,,20190905.0,",1,S",15.2,"3,S,19,",,,38.6,"1,S,05,",,,0.0,"1,S",,,2.726,"4,S",3.6719999999999997,"1,,,S",1.78,"3,,,S"
AFM00040990,2019-12-01,31.5,65.85,1010.0,"KANDAHAR AIRPORT, AF",,,,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"1,S",2.0,"1,S",0.0,"1,S",20191231.0,"+,5,S",,,20191204.0,",1,S",0.5,"5,S,31,+",,,22.4,"1,S,04,",,,,,,,0.9640000000000001,"6,S",1.6239999999999999,"1,,,S",0.303,"5,,,S"
AFM00040990,2020-01-01,31.5,65.85,1010.0,"KANDAHAR AIRPORT, AF",0.0,S,0.0,"4,S",,,,,,,0.0,"3,S",12.0,"3,S",0.0,"2,S",0.0,"2,S",0.0,"2,S",20200119.0,"+,3,S",,,20200101.0,",2,S",-2.5,"3,S,19,+",,,17.4,"2,S,01,",,,353.5,"2,S",,,0.532,"4,S",0.9650000000000001,"2,,,S",0.099,"3,,,S"
AFM00040990,2020-02-01,31.5,65.85,1010.0,"KANDAHAR AIRPORT, AF",0.0,S,0.0,",S",,,,,,,0.0,",S",4.0,",S",0.0,",S",7.0,",S",0.0,",S",20200206.0,",,S",,,20200227.0,",,S",-1.6,",S,06,",,,26.2,",S,27,",,,212.7,",S",,,1.1,",S",1.7719999999999998,",,,S",0.42800000000000005,",,,S"
AFM00040990,2020-04-01,31.5,65.85,1010.0,"KANDAHAR AIRPORT, AF",,,,,9.0,"5,S",2.0,"5,S",0.0,"5,S",0.0,"5,S",0.0,"5,S",0.0,"1,S",27.0,"1,S",5.0,"1,S",20200402.0,",5,S",20200417.0,",5,S",20200428.0,",1,S",6.8,"5,S,02,",9.1,"5,,S,17,",34.9,"1,S,28,",,,,,21.5,"5,,,S",2.027,"6,S",2.758,"1,,,S",1.296,"5,,,S"
AFM00040990,2020-05-01,31.5,65.85,1010.0,"KANDAHAR AIRPORT, AF",,,225.0,"2,S",,,,,,,0.0,"1,S",0.0,"1,S",0.0,"1,S",30.0,"1,S",23.0,"1,S",20200515.0,",1,S",,,20200525.0,",1,S",14.2,"1,S,15,",,,38.4,"1,S,25,",,,0.0,"1,S",,,2.612,"2,S",3.4479999999999995,"1,,,S",1.775,"1,,,S"
AFM00040990,2020-06-01,31.5,65.85,1010.0,"KANDAHAR AIRPORT, AF",,,,,,,,,,,0.0,"3,S",0.0,"3,S",0.0,"3,S",27.0,"3,S",27.0,"3,S",20200602.0,",3,S",,,20200623.0,",3,S",18.5,"3,S,02,",,,43.6,"3,S,23,",,,,,,,3.096,"6,S",3.9979999999999998,"3,,,S",2.193,"3,,,S"
AFM00040990,2020-08-01,31.5,65.85,1010.0,"KANDAHAR AIRPORT, AF",,,364.9,"3,S",,,,,,,0.0,"3,S",0.0,"3,S",0.0,",S",31.0,",S",31.0,",S",20200829.0,",3,S",,,20200816.0,",,S",16.2,"3,S,29,",,,43.1,",S,16,",,,0.0,",S",,,3.127,"3,S",3.9520000000000004,",,,S",2.303,"3,,,S"
AFM00040990,2020-10-01,31.5,65.85,1010.0,"KANDAHAR AIRPORT, AF",,,19.7,"4,S",,,,,,,0.0,"3,S",0.0,"3,S",0.0,"1,S",29.0,"1,S",1.0,"1,S",20201031.0,",3,S",,,20201004.0,",1,S",3.7,"3,S,31,",,,32.2,"1,S,04,",,,62.5,"1,S",,,1.688,"4,S",2.56,"1,,,S",0.8160000000000001,"3,,,S"
