STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AG000060611,1958-10-01,28.05,9.6331,561.0,"IN AMENAS, AG",,,143.4,",G",0.0,",I",0.0,",I",0.0,",I",0.0,",G",0.0,",G",0.0,",G",31.0,",G",11.0,",G",19581024.0,",,G",19581031.0,"+,,I",19581004.0,"+,,G",7.6,",G,24,",0.0,",,I,31,+",38.3,",G,04,+",,,3.9,",G",0.0,",,,I",2.283,",G",3.093,",,,G",1.474,",,,G"
AG000060611,1958-11-01,28.05,9.6331,561.0,"IN AMENAS, AG",,,47.2,",G",0.0,"3,I",0.0,"3,I",0.0,"3,I",0.0,",G",0.0,",G",0.0,",G",26.0,",G",2.0,",G",19581114.0,",,G",19581130.0,"+,3,I",19581103.0,"+,,G",2.9,",G,14,",0.0,"3,,I,30,+",35.3,",G,03,+",,,51.5,",G",0.0,"3,,,I",1.8190000000000002,",G",2.54,",,,G",1.098,",,,G"
AG000060611,1958-12-01,28.05,9.6331,561.0,"IN AMENAS, AG",,,7.6,",G",1.0,"2,I",1.0,"2,I",1.0,"2,I",0.0,",G",2.0,",G",0.0,",G",18.0,",G",0.0,",G",19581225.0,",,G",19581230.0,",2,I",19581204.0,",,G",-2.8,",G,25,",35.0,"2,,I,30,",29.9,",G,04,",,,141.4,",G",35.0,"2,,,I",1.402,",G",2.191,",,,G",0.613,",,,G"
AG000060611,1959-01-01,28.05,9.6331,561.0,"IN AMENAS, AG",0.7,G,0.7,",G",0.0,"1,I",0.0,"1,I",0.0,"1,I",0.0,",G",4.0,",G",0.0,",G",5.0,",G",0.0,",G",19590129.0,",,G",19590131.0,"+,1,I",19590115.0,",,G",-1.9,",G,29,",0.0,"1,,I,31,+",25.0,",G,15,",,,233.5,",G",0.0,"1,,,I",1.082,",G",1.7879999999999998,",,,G",0.376,",,,G"
AG000060611,1959-02-01,28.05,9.6331,561.0,"IN AMENAS, AG",0.7,G,0.0,",G",0.0,"2,I",0.0,"2,I",0.0,"2,I",0.0,",G",1.0,",G",0.0,",G",11.0,",G",0.0,",G",19590217.0,",,G",19590228.0,"+,2,I",19590228.0,",,G",-6.0,",G,17,",0.0,"2,,I,28,+",26.7,",G,28,",,,159.6,",G",0.0,"2,,,I",1.2630000000000001,",G",2.011,",,,G",0.515,",,,G"
AG000060611,1959-04-01,28.05,9.6331,561.0,"IN AMENAS, AG",,,102.0,",G",0.0,",I",0.0,",I",0.0,",I",0.0,",G",0.0,",G",0.0,",G",30.0,",G",10.0,",G",19590402.0,",,G",19590430.0,"+,,I",19590430.0,",,G",7.0,",G,02,",0.0,",,I,30,+",38.9,",G,30,",,,10.9,",G",0.0,",,,I",2.137,",G",2.976,",,,G",1.298,",,,G"
AG000060611,1959-05-01,28.05,9.6331,561.0,"IN AMENAS, AG",,,331.7,",G",1.0,"1,I",0.0,"1,I",0.0,"1,I",0.0,",G",0.0,",G",0.0,",G",31.0,",G",28.0,",G",19590516.0,",,G",19590521.0,",1,I",19590518.0,",,G",14.0,",G,16,",1.0,"1,,I,21,",42.6,",G,18,",,,0.0,",G",1.0,"1,,,I",2.903,",G",3.7520000000000002,",,,G",2.055,",,,G"
AG000060611,1959-06-01,28.05,9.6331,561.0,"IN AMENAS, AG",,,380.8,",G",0.0,",I",0.0,",I",0.0,",I",0.0,",G",0.0,",G",0.0,",G",30.0,",G",30.0,",G",19590608.0,",,G",19590630.0,"+,,I",19590606.0,",,G",19.2,",G,08,",0.0,",,I,30,+",44.4,",G,06,",,,0.0,",G",0.0,",,,I",3.103,",G",3.91,",,,G",2.295,",,,G"
AG000060611,1959-07-01,28.05,9.6331,561.0,"IN AMENAS, AG",,,369.1,",G",0.0,"1,I",0.0,"1,I",0.0,"1,I",0.0,",G",0.0,",G",0.0,",G",31.0,",G",30.0,",G",19590705.0,",,G",19590731.0,"+,1,I",19590727.0,",,G",17.1,",G,05,",0.0,"1,,I,31,+",43.0,",G,27,",0.0,G,0.0,",G",0.0,"1,,,I",3.024,",G",3.853,",,,G",2.195,",,,G"
AG000060611,1959-08-01,28.05,9.6331,561.0,"IN AMENAS, AG",,,410.0,",G",0.0,"1,I",0.0,"1,I",0.0,"1,I",0.0,",G",0.0,",G",0.0,",G",31.0,",G",31.0,",G",19590828.0,",,G",19590831.0,"+,1,I",19590816.0,",,G",18.2,",G,28,",0.0,"1,,I,31,+",44.5,",G,16,",0.0,G,0.0,",G",0.0,"1,,,I",3.1559999999999997,",G",3.964,",,,G",2.348,",,,G"
AG000060611,1959-09-01,28.05,9.6331,561.0,"IN AMENAS, AG",,,377.9,",G",0.0,",I",0.0,",I",0.0,",I",0.0,",G",0.0,",G",0.0,",G",30.0,",G",30.0,",G",19590924.0,",,G",19590930.0,"+,,I",19590916.0,",,G",18.1,",G,24,",0.0,",,I,30,+",42.1,",G,16,",0.0,G,0.0,",G",0.0,",,,I",3.093,",G",3.9490000000000003,",,,G",2.237,",,,G"
AG000060611,1959-10-01,28.05,9.6331,561.0,"IN AMENAS, AG",,,209.1,",G",0.0,"1,I",0.0,"1,I",0.0,"1,I",0.0,",G",0.0,",G",0.0,",G",31.0,",G",19.0,",G",19591026.0,",,G",19591031.0,"+,1,I",19591010.0,",,G",8.1,",G,26,",0.0,"1,,I,31,+",37.2,",G,10,",1.8,G,1.8,",G",0.0,"1,,,I",2.502,",G",3.2939999999999996,",,,G",1.709,",,,G"
AG000060611,1959-11-01,28.05,9.6331,561.0,"IN AMENAS, AG",,,38.7,",G",0.0,"2,I",0.0,"2,I",0.0,"2,I",0.0,",G",0.0,",G",0.0,",G",30.0,",G",2.0,",G",19591115.0,",,G",19591130.0,"+,2,I",19591106.0,",,G",4.8,",G,15,",0.0,"2,,I,30,+",32.8,",G,06,",37.2,G,35.4,",G",0.0,"2,,,I",1.845,",G",2.661,",,,G",1.028,",,,G"
AG000060611,1959-12-01,28.05,9.6331,561.0,"IN AMENAS, AG",,,0.7,",G",0.0,",I",0.0,",I",0.0,",I",0.0,",G",9.0,",G",0.0,",G",8.0,",G",0.0,",G",19591222.0,",,G",19591231.0,"+,,I",19591210.0,",,G",-2.2,",G,22,",0.0,",,I,31,+",27.4,",G,10,",256.9,G,219.7,",G",0.0,",,,I",1.127,",G",1.9260000000000002,",,,G",0.32799999999999996,",,,G"
AG000060611,1960-01-01,28.05,9.6331,561.0,"IN AMENAS, AG",0.0,G,0.0,",G",0.0,",I",0.0,",I",0.0,",I",0.0,",G",14.0,",G",0.0,",G",10.0,",G",0.0,",G",19600121.0,",,G",19600131.0,"+,,I",19600111.0,",,G",-6.1,",G,21,",0.0,",,I,31,+",26.0,",G,11,",509.8,G,252.9,",G",0.0,",,,I",1.017,",G",1.955,",,,G",0.08,",,,G"
AG000060611,1960-02-01,28.05,9.6331,561.0,"IN AMENAS, AG",15.0,G,15.0,",G",0.0,",I",0.0,",I",0.0,",I",0.0,",G",4.0,",G",0.0,",G",23.0,",G",3.0,",G",19600207.0,",,G",19600229.0,"+,,I",19600219.0,",,G",-1.5,",G,07,",0.0,",,I,29,+",33.4,",G,19,",594.6,G,84.8,",G",0.0,",,,I",1.593,",G",2.659,",,,G",0.526,",,,G"
AG000060611,1960-03-01,28.05,9.6331,561.0,"IN AMENAS, AG",48.8,G,33.8,",G",1.0,",I",1.0,",I",0.0,",I",0.0,",G",0.0,",G",0.0,",G",31.0,",G",3.0,",G",19600301.0,",,G",19600324.0,",,I",19600331.0,",,G",3.2,",G,01,",3.0,",,I,24,",34.2,",G,31,",637.1,G,42.5,",G",3.0,",,,I",1.8050000000000002,",G",2.738,",,,G",0.873,",,,G"
AG000060611,1960-04-01,28.05,9.6331,561.0,"IN AMENAS, AG",189.9,G,141.1,",G",0.0,"1,I",0.0,"1,I",0.0,"1,I",0.0,",G",0.0,",G",0.0,",G",30.0,",G",11.0,",G",19600405.0,",,G",19600430.0,"+,1,I",19600410.0,",,G",7.8,",G,05,",0.0,"1,,I,30,+",38.8,",G,10,",640.8,G,3.7,",G",0.0,"1,,,I",2.2920000000000003,",G",3.077,",,,G",1.506,",,,G"
AG000060611,1960-05-01,28.05,9.6331,561.0,"IN AMENAS, AG",464.4,G,274.5,",G",0.0,"1,I",0.0,"1,I",0.0,"1,I",0.0,",G",0.0,",G",0.0,",G",31.0,",G",24.0,",G",19600506.0,",,G",19600531.0,"+,1,I",19600524.0,",,G",11.2,",G,06,",0.0,"1,,I,31,+",41.6,",G,24,",640.8,G,0.0,",G",0.0,"1,,,I",2.7190000000000003,",G",3.522,",,,G",1.916,",,,G"
AG000060611,1960-06-01,28.05,9.6331,561.0,"IN AMENAS, AG",879.6,G,415.2,",G",,,,,,,0.0,",G",0.0,",G",0.0,",G",30.0,",G",30.0,",G",19600619.0,",,G",,,19600630.0,",,G",21.5,",G,19,",,,42.0,",G,30,",640.8,G,0.0,",G",,,3.217,",G",3.947,",,,G",2.488,",,,G"
AG000060611,1960-07-01,28.05,9.6331,561.0,"IN AMENAS, AG",1317.0,G,437.4,",G",0.0,",I",0.0,",I",0.0,",I",0.0,",G",0.0,",G",0.0,",G",31.0,",G",31.0,",G",19600713.0,",,G",19600731.0,"+,,I",19600709.0,",,G",19.4,",G,13,",0.0,",,I,31,+",45.3,",G,09,",0.0,G,0.0,",G",0.0,",,,I",3.2439999999999998,",G",4.116,",,,G",2.372,",,,G"
AG000060611,1960-08-01,28.05,9.6331,561.0,"IN AMENAS, AG",1743.2,G,426.2,",G",0.0,",I",0.0,",I",0.0,",I",0.0,",G",0.0,",G",0.0,",G",31.0,",G",31.0,",G",19600828.0,",,G",19600831.0,"+,,I",19600814.0,",,G",18.1,",G,28,",0.0,",,I,31,+",44.6,",G,14,",0.0,G,0.0,",G",0.0,",,,I",3.2079999999999997,",G",4.089,",,,G",2.327,",,,G"
AG000060611,1960-09-01,28.05,9.6331,561.0,"IN AMENAS, AG",2076.7,G,333.5,",G",0.0,",I",0.0,",I",0.0,",I",0.0,",G",0.0,",G",0.0,",G",30.0,",G",30.0,",G",19600904.0,",,G",19600930.0,"+,,I",19600907.0,",,G",19.3,",G,04,",0.0,",,I,30,+",42.1,",G,07,",0.0,G,0.0,",G",0.0,",,,I",2.945,",G",3.7340000000000004,",,,G",2.1550000000000002,",,,G"
