STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AGE00147713,1878-01-01,36.18,5.4,1081.0,"SETIF, AG",0.0,E,0.0,",E",10.0,",E",4.0,",E",0.0,",E",0.0,",E",23.0,",E",0.0,",E",0.0,",E",0.0,",E",18780113.0,",,E",18780113.0,",,E",18780123.0,",,E",-4.0,",E,13,",8.4,",,E,13,",12.5,",E,23,",,,458.2,",E",29.9,",,,E",0.355,",E",0.7929999999999999,",,,E",-0.08299999999999999,",,,E"
AGE00147713,1878-02-01,36.18,5.4,1081.0,"SETIF, AG",0.0,E,0.0,",E",7.0,",E",3.0,",E",0.0,",E",0.0,",E",12.0,",E",0.0,",E",0.0,",E",0.0,",E",18780204.0,",,E",18780224.0,",,E",18780215.0,",,E",-3.9,",E,04,",6.0,",,E,24,",17.1,",E,15,",,,351.3,",E",15.8,",,,E",0.579,",E",1.109,",,,E",0.049,",,,E"
AGE00147713,1878-03-01,36.18,5.4,1081.0,"SETIF, AG",0.0,E,0.0,",E",5.0,",E",2.0,",E",0.0,",E",0.0,",E",10.0,",E",0.0,",E",4.0,",E",0.0,",E",18780315.0,",,E",18780317.0,",,E",18780310.0,"+,,E",-5.8,",E,15,",5.5,",,E,17,",22.2,",E,10,+",,,316.4,",E",14.0,",,,E",0.8130000000000001,",E",1.482,",,,E",0.143,",,,E"
AGE00147713,1878-04-01,36.18,5.4,1081.0,"SETIF, AG",4.5,E,4.5,",E",2.0,",E",0.0,",E",0.0,",E",0.0,",E",1.0,",E",0.0,",E",14.0,",E",0.0,",E",18780401.0,",,E",18780417.0,",,E",18780430.0,",,E",-2.2,",E,01,",2.3,",,E,17,",31.2,",E,30,",,,158.9,",E",4.2,",,,E",1.319,",E",2.007,",,,E",0.63,",,,E"
AGE00147713,1878-05-01,36.18,5.4,1081.0,"SETIF, AG",53.3,E,48.8,",E",2.0,",E",1.0,",E",0.0,",E",0.0,",E",0.0,",E",0.0,",E",29.0,",E",3.0,",E",18780503.0,",,E",18780502.0,",,E",18780531.0,",,E",3.9,",E,03,",9.6,",,E,02,",33.0,",E,31,",,,28.7,",E",10.2,",,,E",1.8980000000000001,",E",2.726,",,,E",1.0699999999999998,",,,E"
AGE00147713,1878-06-01,36.18,5.4,1081.0,"SETIF, AG",235.9,E,182.6,",E",3.0,",E",1.0,",E",0.0,",E",0.0,",E",0.0,",E",0.0,",E",30.0,",E",19.0,",E",18780602.0,",,E",18780613.0,",,E",18780621.0,"+,,E",11.0,",E,02,",10.1,",,E,13,",36.8,",E,21,+",,,0.0,",E",12.6,",,,E",2.442,",E",3.282,",,,E",1.6019999999999999,",,,E"
AGE00147713,1878-07-01,36.18,5.4,1081.0,"SETIF, AG",472.9,E,237.0,"2,E",2.0,",E",0.0,",E",0.0,",E",0.0,"1,E",0.0,"1,E",0.0,"1,E",30.0,"1,E",23.0,"1,E",18780705.0,",1,E",18780721.0,",,E",18780717.0,",1,E",9.4,"1,E,05,",1.0,",,E,21,",40.0,"1,E,17,",0.0,E,0.0,"1,E",1.6,",,,E",2.65,"2,E",3.4909999999999997,"1,,,E",1.809,"1,,,E"
AGE00147713,1878-08-01,36.18,5.4,1081.0,"SETIF, AG",753.6,E,280.7,",E",3.0,",E",2.0,",E",0.0,",E",0.0,",E",0.0,",E",0.0,",E",31.0,",E",29.0,",E",18780804.0,",,E",18780811.0,",,E",18780823.0,"+,,E",15.7,",E,04,",3.7,",,E,11,",38.2,",E,23,+",0.0,E,0.0,",E",7.0,",,,E",2.739,",E",3.5810000000000004,",,,E",1.8960000000000001,",,,E"
AGE00147713,1878-09-01,36.18,5.4,1081.0,"SETIF, AG",813.3,E,59.7,",E",1.0,",E",1.0,",E",0.0,",E",0.0,",E",0.0,",E",0.0,",E",27.0,",E",3.0,",E",18780927.0,",,E",18780912.0,",,E",18780903.0,",,E",6.5,",E,27,",8.6,",,E,12,",34.6,",E,03,",18.7,E,18.7,",E",8.6,",,,E",1.97,",E",2.659,",,,E",1.2810000000000001,",,,E"
AGE00147713,1878-10-01,36.18,5.4,1081.0,"SETIF, AG",828.8,E,15.5,"1,E",7.0,",E",5.0,",E",0.0,",E",0.0,",E",0.0,",E",0.0,"1,E",23.0,"1,E",0.0,"1,E",18781031.0,",,E",18781029.0,",,E",18781006.0,",1,E",2.9,",E,31,",22.3,",,E,29,",27.9,"1,E,06,",73.3,E,54.6,"1,E",63.7,",,,E",1.698,"1,E",2.341,"1,,,E",1.0550000000000002,",,,E"
