STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AGE00147780,1931-01-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,,,0.0,"5,E",0.0,"5,E",0.0,"5,E",1.0,"5,E",0.0,"5,E",19310113.0,",5,E",19310103.0,",5,E",6.0,"5,E,13,",23.0,"5,E,03,",,,,,1.206,"8,E",1.431,"5,,,E",0.9810000000000001,"5,,,E"
AGE00147780,1931-08-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,228.3,"5,E",0.0,"2,E",0.0,"2,E",0.0,"3,E",28.0,"3,E",11.0,"3,E",19310827.0,"+,2,E",19310804.0,",3,E",20.0,"2,E,27,+",45.0,"3,E,04,",,,0.0,"3,E",2.715,"5,E",3.196,"3,,,E",2.234,"2,,,E"
AGE00147780,1931-09-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,,,0.0,"4,E",0.0,"4,E",0.0,"4,E",17.0,"4,E",4.0,"4,E",19310925.0,",4,E",19310903.0,",4,E",13.0,"4,E,25,",38.0,"4,E,03,",,,,,2.2079999999999997,"6,E",2.523,"4,,,E",1.8920000000000001,"4,,,E"
AGE00147780,1931-10-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,61.3,",E",0.0,",E",0.0,",E",0.0,",E",15.0,",E",0.0,",E",19311029.0,",,E",19311023.0,",,E",10.0,",E,29,",30.0,",E,23,",,,21.2,",E",1.9629999999999999,",E",2.2350000000000003,",,,E",1.69,",,,E"
AGE00147780,1931-11-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,4.7,",E",0.0,",E",0.0,",E",0.0,",E",3.0,",E",0.0,",E",19311116.0,",,E",19311112.0,",,E",10.0,",E,16,",24.0,",E,12,",,,83.7,",E",1.5699999999999998,",E",1.7899999999999998,",,,E",1.35,",,,E"
AGE00147780,1931-12-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,0.0,"5,E",0.0,"2,E",0.0,"2,E",0.0,"3,E",0.0,"3,E",0.0,"3,E",19311220.0,",2,E",19311206.0,",3,E",1.0,"2,E,20,",18.0,"3,E,06,",,,204.2,"3,E",1.048,"5,E",1.2570000000000001,"3,,,E",0.8380000000000001,"2,,,E"
AGE00147780,1932-03-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,3.7,"5,E",0.0,"3,E",0.0,"3,E",0.0,"3,E",6.0,"3,E",0.0,"3,E",19320322.0,",3,E",19320316.0,",3,E",7.0,"3,E,22,",28.0,"3,E,16,",,,125.8,"3,E",1.3679999999999999,"5,E",1.693,"3,,,E",1.043,"3,,,E"
AGE00147780,1932-04-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,7.5,"5,E",0.0,"3,E",0.0,"3,E",0.0,"3,E",6.0,"3,E",0.0,"3,E",19320407.0,",3,E",19320430.0,",3,E",4.0,"3,E,07,",29.0,"3,E,30,",,,90.8,"3,E",1.494,"5,E",1.904,"3,,,E",1.085,"3,,,E"
AGE00147780,1932-06-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,75.0,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",24.0,"1,E",1.0,"1,E",19320624.0,"+,1,E",19320627.0,",1,E",15.0,"1,E,24,+",34.0,"1,E,27,",,,0.8,"1,E",2.1,"2,E",2.4690000000000003,"1,,,E",1.7309999999999999,"1,,,E"
AGE00147780,1932-07-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,137.3,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",29.0,"1,E",4.0,"1,E",19320729.0,",1,E",19320707.0,",1,E",12.0,"1,E,29,",36.0,"1,E,07,",0.0,E,0.0,"1,E",2.307,"2,E",2.747,"1,,,E",1.8670000000000002,"1,,,E"
