STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AGM00060369,2001-09-01,36.767,3.1,12.0,"ALGER PORT, AG",,,80.3,"2,S",,,,,,,0.0,"1,S",0.0,"1,S",0.0,"2,S",28.0,"2,S",0.0,"2,S",20010920.0,",1,S",,,20010928.0,",2,S",13.0,"1,S,20,",,,31.7,"2,S,28,",,,0.2,"2,S",,,2.117,"2,S",2.648,"2,,,S",1.587,"1,,,S"
AGM00060369,2001-10-01,36.767,3.1,12.0,"ALGER PORT, AG",,,,,,,,,,,0.0,"4,S",0.0,"4,S",0.0,"3,S",28.0,"3,S",4.0,"3,S",20011026.0,",4,S",,,20011012.0,",3,S",11.9,"4,S,26,",,,35.3,"3,S,12,",,,,,,,2.173,"6,S",2.755,"3,,,S",1.591,"4,,,S"
AGM00060369,2001-12-01,36.767,3.1,12.0,"ALGER PORT, AG",,,0.0,"5,S",,,,,,,0.0,"2,S",0.0,"2,S",0.0,"3,S",3.0,"3,S",0.0,"3,S",20011218.0,",2,S",,,20011230.0,",3,S",2.3,"2,S,18,",,,23.0,"3,S,30,",,,192.0,"3,S",,,1.09,"5,S",1.668,"3,,,S",0.512,"2,,,S"
AGM00060369,2002-02-01,36.767,3.1,12.0,"ALGER PORT, AG",,,0.0,"5,S",,,,,,,0.0,"4,S",0.0,"4,S",0.0,"3,S",1.0,"3,S",0.0,"3,S",20020202.0,",4,S",,,20020226.0,",3,S",2.5,"4,S,02,",,,21.4,"3,S,26,",,,101.6,"3,S",,,1.392,"5,S",1.738,"3,,,S",1.0470000000000002,"4,,,S"
AGM00060369,2002-03-01,36.767,3.1,12.0,"ALGER PORT, AG",,,6.0,"4,S",,,,,,,0.0,"3,S",0.0,"3,S",0.0,"1,S",11.0,"1,S",0.0,"1,S",20020308.0,",3,S",,,20020313.0,",1,S",9.2,"3,S,08,",,,30.5,"1,S,13,",,,70.9,"1,S",,,1.6199999999999999,"4,S",2.0100000000000002,"1,,,S",1.23,"3,,,S"
AGM00060369,2002-10-01,36.767,3.1,12.0,"ALGER PORT, AG",,,78.5,"5,S",,,,,,,0.0,"4,S",0.0,"4,S",0.0,"2,S",28.0,"2,S",0.0,"2,S",20021011.0,",4,S",,,20021017.0,",2,S",15.4,"4,S,11,",,,27.8,"2,S,17,",,,0.0,"2,S",,,2.13,"5,S",2.4579999999999997,"2,,,S",1.8030000000000002,"4,,,S"
AGM00060369,2003-03-01,36.767,3.1,12.0,"ALGER PORT, AG",,,2.0,"5,S",,,,,,,0.0,"4,S",0.0,"4,S",0.0,"3,S",7.0,"3,S",0.0,"3,S",20030321.0,"+,4,S",,,20030327.0,",3,S",8.9,"4,S,21,+",,,24.6,"3,S,27,",,,73.0,"3,S",,,1.546,"5,S",1.8780000000000001,"3,,,S",1.214,"4,,,S"
AGM00060369,2003-04-01,36.767,3.1,12.0,"ALGER PORT, AG",,,,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"1,S",7.0,"1,S",0.0,"1,S",20030404.0,",5,S",,,20030426.0,",1,S",7.8,"5,S,04,",,,28.3,"1,S,26,",,,,,,,1.686,"6,S",1.998,"1,,,S",1.374,"5,,,S"
AGM00060369,2003-07-01,36.767,3.1,12.0,"ALGER PORT, AG",,,244.1,"4,S",,,,,,,0.0,"3,S",0.0,"3,S",0.0,"4,S",27.0,"4,S",7.0,"4,S",20030721.0,",3,S",,,20030720.0,",4,S",17.8,"3,S,21,",,,36.4,"4,S,20,",0.0,S,0.0,"4,S",,,2.7359999999999998,"4,S",3.041,"4,,,S",2.431,"3,,,S"
AGM00060369,2003-08-01,36.767,3.1,12.0,"ALGER PORT, AG",,,275.6,"3,S",,,,,,,0.0,"3,S",0.0,"3,S",0.0,"1,S",30.0,"1,S",11.0,"1,S",20030803.0,",3,S",,,20030813.0,",1,S",22.3,"3,S,03,",,,37.5,"1,S,13,",0.0,S,0.0,"1,S",,,2.822,"3,S",3.152,"1,,,S",2.493,"3,,,S"
AGM00060369,2003-10-01,36.767,3.1,12.0,"ALGER PORT, AG",,,109.0,"3,S",,,,,,,0.0,"2,S",0.0,"2,S",0.0,"1,S",27.0,"1,S",0.0,"1,S",20031025.0,",2,S",,,20031002.0,",1,S",14.9,"2,S,25,",,,30.2,"1,S,02,",,,0.5,"1,S",,,2.218,"3,S",2.495,"1,,,S",1.94,"2,,,S"
AGM00060369,2007-10-01,36.767,3.1,12.0,"ALGER PORT, AG",,,92.1,"3,S",11.0,",S",9.0,",S",1.0,",S",0.0,"3,S",0.0,"3,S",0.0,"1,S",26.0,"1,S",0.0,"1,S",20071022.0,",3,S",20071031.0,",,S",20071007.0,",1,S",15.8,"3,S,22,",40.9,",,S,31,",26.9,"1,S,07,",,,0.2,"1,S",105.4,",,,S",2.1399999999999997,"3,S",2.364,"1,,,S",1.9149999999999998,"3,,,S"
AGM00060369,2007-11-01,36.767,3.1,12.0,"ALGER PORT, AG",,,7.9,"3,S",15.0,",S",12.0,",S",3.0,",S",0.0,"2,S",0.0,"2,S",0.0,"2,S",5.0,"2,S",0.0,"2,S",20071118.0,",2,S",20071126.0,",,S",20071120.0,",2,S",9.0,"2,S,18,",117.1,",,S,26,",28.1,"2,S,20,",,,57.3,"2,S",295.2,",,,S",1.643,"3,S",1.9440000000000002,"2,,,S",1.342,"2,,,S"
AGM00060369,2007-12-01,36.767,3.1,12.0,"ALGER PORT, AG",,,0.7,"2,S",7.0,"1,S",7.0,"1,S",0.0,"1,S",0.0,"2,S",0.0,"2,S",0.0,"1,S",1.0,"1,S",0.0,"1,S",20071217.0,",2,S",20071216.0,",1,S",20071209.0,",1,S",6.8,"2,S,17,",21.1,"1,,S,16,",24.4,"1,S,09,",,,107.3,"1,S",60.3,"1,,,S",1.462,"2,S",1.764,"1,,,S",1.159,"2,,,S"
AGM00060369,2008-01-01,36.767,3.1,12.0,"ALGER PORT, AG",0.0,S,0.0,",S",5.0,",S",3.0,",S",0.0,",S",0.0,",S",0.0,",S",0.0,",S",1.0,",S",0.0,",S",20080112.0,",,S",20080104.0,",,S",20080114.0,",,S",9.2,",S,12,",14.0,",,S,04,",22.4,",S,14,",,,111.1,",S",33.6,",,,S",1.475,",S",1.78,",,,S",1.17,",,,S"
AGM00060369,2008-02-01,36.767,3.1,12.0,"ALGER PORT, AG",,,,,3.0,",S",1.0,",S",0.0,",S",0.0,"1,S",0.0,"1,S",0.0,"5,S",4.0,"5,S",0.0,"5,S",20080217.0,",1,S",20080220.0,",,S",20080219.0,",5,S",8.2,"1,S,17,",4.1,",,S,20,",22.1,"5,S,19,",,,,,5.6,",,,S",1.5070000000000001,"6,S",1.7719999999999998,"5,,,S",1.241,"1,,,S"
AGM00060369,2008-03-01,36.767,3.1,12.0,"ALGER PORT, AG",,,4.7,"4,S",11.0,",S",7.0,",S",2.0,",S",0.0,"3,S",0.0,"3,S",0.0,"1,S",7.0,"1,S",0.0,"1,S",20080307.0,",3,S",20080324.0,",,S",20080303.0,",1,S",6.2,"3,S,07,",29.0,",,S,24,",27.0,"1,S,03,",,,65.0,"1,S",101.5,",,,S",1.584,"4,S",1.9329999999999998,"1,,,S",1.2349999999999999,"3,,,S"
AGM00060369,2008-04-01,36.767,3.1,12.0,"ALGER PORT, AG",,,33.0,"2,S",3.0,",S",2.0,",S",0.0,",S",0.0,"2,S",0.0,"2,S",0.0,",S",16.0,",S",0.0,",S",20080405.0,",2,S",20080411.0,",,S",20080409.0,",,S",12.0,"2,S,05,",11.9,",,S,11,",30.6,",S,09,",,,22.9,",S",16.9,",,,S",1.861,"2,S",2.1870000000000003,",,,S",1.535,"2,,,S"
AGM00060369,2008-06-01,36.767,3.1,12.0,"ALGER PORT, AG",,,111.2,"3,S",3.0,"2,S",1.0,"2,S",0.0,"2,S",0.0,"2,S",0.0,"2,S",0.0,"2,S",27.0,"2,S",1.0,"2,S",20080602.0,",2,S",20080611.0,",2,S",20080623.0,",2,S",16.5,"2,S,02,",7.9,"2,,S,11,",35.0,"2,S,23,",,,0.0,"2,S",8.9,"2,,,S",2.252,"3,S",2.518,"2,,,S",1.985,"2,,,S"
AGM00060369,2008-11-01,36.767,3.1,12.0,"ALGER PORT, AG",,,3.4,"4,S",15.0,",S",8.0,",S",1.0,",S",0.0,"2,S",0.0,"2,S",0.0,"2,S",6.0,"2,S",0.0,"2,S",20081114.0,",2,S",20081116.0,",,S",20081101.0,",2,S",10.3,"2,S,14,",31.0,",,S,16,",27.3,"2,S,01,",,,48.6,"2,S",143.0,",,,S",1.669,"4,S",1.956,"2,,,S",1.3820000000000001,"2,,,S"
AGM00060369,2009-01-01,36.767,3.1,12.0,"ALGER PORT, AG",,,,,16.0,",S",10.0,",S",0.0,",S",0.0,"5,S",0.0,"5,S",0.0,"3,S",0.0,"3,S",0.0,"3,S",20090108.0,"+,5,S",20090105.0,",,S",20090119.0,",3,S",9.1,"5,S,08,+",18.0,",,S,05,",19.9,"3,S,19,",,,,,94.3,",,,S",1.374,"8,S",1.6179999999999999,"3,,,S",1.1300000000000001,"5,,,S"
AGM00060369,2009-02-01,36.767,3.1,12.0,"ALGER PORT, AG",,,,,7.0,",S",4.0,",S",0.0,",S",0.0,"5,S",0.0,"5,S",0.0,"1,S",4.0,"1,S",0.0,"1,S",20090216.0,",5,S",20090208.0,",,S",20090205.0,",1,S",7.5,"5,S,16,",7.1,",,S,08,",22.3,"1,S,05,",,,,,23.4,",,,S",1.3539999999999999,"6,S",1.654,"1,,,S",1.053,"5,,,S"
AGM00060369,2009-03-01,36.767,3.1,12.0,"ALGER PORT, AG",,,0.3,"5,S",9.0,"2,S",7.0,"2,S",0.0,"2,S",0.0,"4,S",0.0,"4,S",0.0,"4,S",1.0,"4,S",0.0,"4,S",20090322.0,"+,4,S",20090306.0,",2,S",20090303.0,",4,S",9.2,"4,S,22,+",18.0,"2,,S,06,",24.3,"4,S,03,",,,103.3,"4,S",55.7,"2,,,S",1.442,"5,S",1.716,"4,,,S",1.168,"4,,,S"
AGM00060369,2009-05-01,36.767,3.1,12.0,"ALGER PORT, AG",,,,,3.0,"3,S",3.0,"3,S",0.0,"3,S",0.0,"5,S",0.0,"5,S",0.0,"2,S",21.0,"2,S",2.0,"2,S",20090503.0,",5,S",20090502.0,",3,S",20090521.0,",2,S",14.8,"5,S,03,",10.9,"3,,S,02,",36.5,"2,S,21,",,,,,20.0,"3,,,S",2.1149999999999998,"6,S",2.42,"2,,,S",1.81,"5,,,S"
AGM00060369,2009-07-01,36.767,3.1,12.0,"ALGER PORT, AG",,,,,2.0,",S",1.0,",S",0.0,",S",0.0,"5,S",0.0,"5,S",0.0,"5,S",26.0,"5,S",10.0,"5,S",20090703.0,",5,S",20090715.0,",,S",20090723.0,",5,S",21.8,"5,S,03,",3.0,",,S,15,",39.0,"5,S,23,",,,,,4.0,",,,S",2.779,"8,S",3.104,"5,,,S",2.4539999999999997,"5,,,S"
AGM00060369,2009-09-01,36.767,3.1,12.0,"ALGER PORT, AG",,,147.6,"4,S",8.0,"1,S",7.0,"1,S",0.0,"1,S",0.0,"3,S",0.0,"3,S",0.0,"1,S",29.0,"1,S",0.0,"1,S",20090922.0,",3,S",20090929.0,",1,S",20090903.0,",1,S",17.6,"3,S,22,",19.1,"1,,S,29,",30.6,"1,S,03,",,,0.0,"1,S",78.0,"1,,,S",2.3920000000000003,"4,S",2.6350000000000002,"1,,,S",2.15,"3,,,S"
