STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AGM00060417,2001-07-01,36.383,3.883,560.0,"BOUIRA, AG",248.8,"5,S",,,,,,,0.0,"4,S",0.0,"4,S",0.0,"5,S",26.0,"5,S",21.0,"5,S",20010720.0,",4,S",,,20010729.0,",5,S",14.0,"4,S,20,",,,42.5,"5,S,29,",0.0,S,0.0,"5,S",,,2.7920000000000003,"5,S",3.593,"5,,,S",1.991,"4,,,S"
AGM00060417,2001-09-01,36.383,3.883,560.0,"BOUIRA, AG",147.1,"3,S",,,,,,,0.0,"3,S",0.0,"3,S",0.0,"2,S",28.0,"2,S",8.0,"2,S",20010909.0,",3,S",,,20010924.0,",2,S",10.0,"3,S,09,",,,37.2,"2,S,24,",,,0.0,"2,S",,,2.3899999999999997,"3,S",3.065,"2,,,S",1.714,"3,,,S"
AGM00060417,2001-12-01,36.383,3.883,560.0,"BOUIRA, AG",0.0,"5,S",,,,,,,0.0,"4,S",3.0,"4,S",0.0,"2,S",0.0,"2,S",0.0,"2,S",20011213.0,",4,S",,,20011230.0,",2,S",-1.6,"4,S,13,",,,20.8,"2,S,30,",,,260.8,"2,S",,,0.8390000000000001,"5,S",1.365,"2,,,S",0.313,"4,,,S"
AGM00060417,2002-02-01,36.383,3.883,560.0,"BOUIRA, AG",0.0,"5,S",,,,,,,0.0,"3,S",0.0,"3,S",0.0,"3,S",6.0,"3,S",0.0,"3,S",20020220.0,",3,S",,,20020228.0,",3,S",1.5,"3,S,20,",,,25.7,"3,S,28,",,,162.3,"3,S",,,1.121,"5,S",1.759,"3,,,S",0.484,"3,,,S"
AGM00060417,2002-03-01,36.383,3.883,560.0,"BOUIRA, AG",0.0,"3,S",,,,,,,0.0,"2,S",0.0,"2,S",0.0,"1,S",12.0,"1,S",0.0,"1,S",20020327.0,",2,S",,,20020324.0,",1,S",2.8,"2,S,27,",,,28.0,"1,S,24,",,,140.4,"1,S",,,1.338,"3,S",1.9140000000000001,"1,,,S",0.762,"2,,,S"
AGM00060417,2002-10-01,36.383,3.883,560.0,"BOUIRA, AG",58.8,"5,S",,,,,,,0.0,"5,S",0.0,"5,S",0.0,"3,S",25.0,"3,S",2.0,"3,S",20021029.0,",5,S",,,20021021.0,",3,S",9.0,"5,S,29,",,,33.0,"3,S,21,",,,11.4,"3,S",,,1.9920000000000002,"5,S",2.6260000000000003,"3,,,S",1.358,"5,,,S"
AGM00060417,2003-03-01,36.383,3.883,560.0,"BOUIRA, AG",0.0,"2,S",,,,,,,0.0,"2,S",1.0,"2,S",0.0,",S",6.0,",S",0.0,",S",20030318.0,",2,S",,,20030311.0,",,S",-4.7,"2,S,18,",,,28.4,",S,11,",,,170.2,",S",,,1.236,"2,S",1.78,",,,S",0.6910000000000001,"2,,,S"
AGM00060417,2003-04-01,36.383,3.883,560.0,"BOUIRA, AG",17.5,"5,S",,,,,,,0.0,"4,S",0.0,"4,S",0.0,"2,S",11.0,"2,S",1.0,"2,S",20030404.0,",4,S",,,20030429.0,",2,S",2.7,"4,S,04,",,,33.5,"2,S,29,",,,102.1,"2,S",,,1.506,"5,S",2.016,"2,,,S",0.9949999999999999,"4,,,S"
AGM00060417,2003-07-01,36.383,3.883,560.0,"BOUIRA, AG",,,,,,,,,0.0,"3,S",0.0,"3,S",0.0,"5,S",26.0,"5,S",25.0,"5,S",20030730.0,",3,S",,,20030721.0,",5,S",19.0,"3,S,30,",,,42.8,"5,S,21,",,,,,,,3.02,"7,S",3.743,"5,,,S",2.298,"3,,,S"
AGM00060417,2003-10-01,36.383,3.883,560.0,"BOUIRA, AG",,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"5,S",20.0,"5,S",2.0,"5,S",20031025.0,",5,S",,,20031002.0,",5,S",8.4,"5,S,25,",,,37.0,"5,S,02,",,,,,,,1.986,"0,S",2.477,"5,,,S",1.496,"5,,,S"
